Tiempo: 0.002103

Nombre: OLDEMAR ARIAS, Edad: 47, Pais: Abuya
Nombre: CARLOS MENDEZ, Edad: 98, Pais: Arabia Saudita
Nombre: JOSE JOAQUIN ALVARADO, Edad: 47, Pais: Arabia Saudita
Nombre: DONALD WILLIAM MONROE, Edad: 50, Pais: Arabia Saudita
Nombre: JEANNETTE RAMIREZ, Edad: 20, Pais: Arabia Saudita
Nombre: ADELA SOLIS, Edad: 81, Pais: Arabia Saudita
Nombre: MANUEL ANTONIO ULLOA, Edad: 14, Pais: Archipiélago de Svalbard
Nombre: JOSE ANGEL LEDEZMA, Edad: 31, Pais: Argelia
Nombre: FULVIA ISABEL NACARADO, Edad: 8, Pais: Argentina
Nombre: GERARDO ROJAS, Edad: 55, Pais: Armenia
Nombre: LUIS GERARDO CARAZO, Edad: 35, Pais: Armenia
Nombre: ANADELE ELBA GAMBOA, Edad: 70, Pais: Aruba
Nombre: JOSE LUIS SOLANO, Edad: 26, Pais: Aruba
Nombre: JOSE RODOLFO CARVAJAL, Edad: 88, Pais: Aruba
Nombre: FANNY RITA GUERRERO, Edad: 8, Pais: Asjabad
Nombre: MARIA DE LOS ANGELES ARTAVIA, Edad: 18, Pais: Asjabad
Nombre: DEYANIRA CESPEDES, Edad: 56, Pais: Asjabad
Nombre: ESTER LIA ZUÑIGA, Edad: 90, Pais: Asjabad
Nombre: AGUSTIN CORRALES, Edad: 15, Pais: Asmara
Nombre: CAMILO GAMBOA, Edad: 79, Pais: Asmara
Nombre: CLAUDIO GERARDO BOLAÑOS, Edad: 50, Pais: Asmara
Nombre: MARIA ANA CARDENAS, Edad: 69, Pais: Astaná
Nombre: MARINA BERROCAL, Edad: 67, Pais: Astaná
Nombre: ELIECER MURILLO, Edad: 6, Pais: Astaná
Nombre: MARIA JULIA ARGUEDAS, Edad: 16, Pais: Asunción
Nombre: MIGUEL ANGEL BEJARANO, Edad: 57, Pais: Asunción
Nombre: MARTA MARIA HERNANDEZ, Edad: 47, Pais: Asunción
Nombre: TERESITA HERRERA, Edad: 95, Pais: Asunción
Nombre: MARIA ELENA LOPEZ, Edad: 28, Pais: Atenas
Nombre: GERMAN CANTILLO, Edad: 26, Pais: Atenas
Nombre: MARTA EUGENIA CASTILLO, Edad: 98, Pais: Australia
Nombre: VERA MARIA VINDAS, Edad: 68, Pais: Austria
Nombre: MIRIAM CECILIA SANCHEZ, Edad: 51, Pais: Azerbaiyán
Nombre: JUAN TAPIA, Edad: 13, Pais: Bagdad
Nombre: MARIA EMILIA ALVAREZ, Edad: 16, Pais: Bagdad
Nombre: JOSE MARCELINO LUNA, Edad: 38, Pais: Bagdad
Nombre: MARCO TULIO VILLALOBOS, Edad: 72, Pais: Bagdad
Nombre: LEON PEREZ, Edad: 97, Pais: Bagdad
Nombre: MIREYA SANCHEZ, Edad: 55, Pais: Bagdad
Nombre: MARGARITA LEON, Edad: 99, Pais: Bagdad
Nombre: BETTY VARGAS, Edad: 34, Pais: Bagdad
Nombre: OLGA MARIA PICADO, Edad: 77, Pais: Bagdad
Nombre: VICTOR MANUEL MORA, Edad: 21, Pais: Bahrein
Nombre: RAFAEL ANGEL MORA, Edad: 18, Pais: Bahrein
Nombre: RICARDO ODIO, Edad: 73, Pais: Bakú
Nombre: MERCEDES DURAN, Edad: 47, Pais: Bamako
Nombre: HERBERT CERVANTES, Edad: 33, Pais: Bamako
Nombre: RAFAEL PORRAS, Edad: 4, Pais: Bamako
Nombre: MERCEDES GARCIA, Edad: 13, Pais: Bamako
Nombre: LUZ MENA, Edad: 38, Pais: Bandar Seri Begawan
Nombre: RICARDO GAMBOA, Edad: 39, Pais: Bandar Seri Begawan
Nombre: FLOR DE MARIA CALDERON, Edad: 14, Pais: Bandar Seri Begawan
Nombre: CARLOS ANTONIO AGUERO, Edad: 26, Pais: Bandar Seri Begawan
Nombre: LUZMILDA VEGA, Edad: 56, Pais: Bangkok
Nombre: FERNANDO GAMBOA, Edad: 17, Pais: Bangkok
Nombre: MANUEL GUILLERMO QUESADA, Edad: 9, Pais: Bangladesh
Nombre: XINIA SALINAS, Edad: 48, Pais: Bangui
Nombre: CARLOS DAUBE HIDALGO, Edad: 50, Pais: Banjul
Nombre: MARIA EUGENIA SOTO, Edad: 15, Pais: Banjul
Nombre: GERARDO RODRIGUEZ, Edad: 47, Pais: Banjul
Nombre: VICTOR MANUEL CRUZ, Edad: 81, Pais: Barbados
Nombre: ANA JOSEFA CAMBRONERO, Edad: 39, Pais: Barbados
Nombre: GERARDO CHAVES, Edad: 35, Pais: Barbados
Nombre: RAFAEL MENDEZ, Edad: 56, Pais: Barbados
Nombre: MARIA LIDIA MONGE, Edad: 18, Pais: Basseterre
Nombre: JOSE FRANCISCO SANCHEZ, Edad: 22, Pais: Basseterre
Nombre: MARGARITA GARCIA, Edad: 31, Pais: Beirut
Nombre: IRIS CORREDERA, Edad: 64, Pais: Beirut
Nombre: MARIO JORGE TORRES, Edad: 34, Pais: Beirut
Nombre: RAFAEL JIMENEZ, Edad: 59, Pais: Belice
Nombre: ALVARO MADRIGAL, Edad: 84, Pais: Belice
Nombre: JOSE LUIS PADILLA, Edad: 15, Pais: Belmopán
Nombre: CONCEPCION ACUÑA, Edad: 15, Pais: Benín
Nombre: ALFREDO CASTILLO, Edad: 55, Pais: Benín
Nombre: IVONNE MARIA BAGNARELLO, Edad: 84, Pais: Benín
Nombre: ELIZABETH GOMEZ, Edad: 99, Pais: Berlín
Nombre: MARIA DE LOS ANGELES VALLE, Edad: 11, Pais: Berlín
Nombre: CARLOS ACOSTA, Edad: 9, Pais: Berna
Nombre: VIRGINIA QUIROS, Edad: 94, Pais: Bielorrusia
Nombre: GLORIA MARIA BARRIENTOS, Edad: 57, Pais: Bielorrusia
Nombre: JOSE RAMON AZOFEIFA, Edad: 47, Pais: Bielorrusia
Nombre: JULIO LUIS BERMUDEZ, Edad: 48, Pais: Birmania
Nombre: VERA VIOLETA GARCIA, Edad: 100, Pais: Birmania
Nombre: ZAIDA CECILIA CARPIO, Edad: 57, Pais: Birmania
Nombre: FLORA LARA, Edad: 82, Pais: Bisáu
Nombre: DEYANIRA VARGAS, Edad: 51, Pais: Bisáu
Nombre: ROSA MARIA QUESADA, Edad: 6, Pais: Bisáu
Nombre: HERMINIA AGUILAR, Edad: 4, Pais: Bogotá
Nombre: MIGUEL ANGEL LOPEZ, Edad: 55, Pais: Bogotá
Nombre: YOLANDA CAMPOS, Edad: 1, Pais: Bolivia
Nombre: ADRIAN FERNANDO ACUÑA, Edad: 66, Pais: Bolivia
Nombre: VICTOR HUGO QUIROS, Edad: 58, Pais: Bosnia-Herzegovina
Nombre: JOSE LUIS CHAVERRI, Edad: 15, Pais: Bosnia-Herzegovina
Nombre: GERARDO ANTONIO MORA, Edad: 9, Pais: Bosnia-Herzegovina
Nombre: JOSE MANUEL RAMIREZ, Edad: 75, Pais: Bosnia-Herzegovina
Nombre: RIGOBERTO ZUÑIGA, Edad: 66, Pais: Bosnia-Herzegovina
Nombre: COSME ACUÑA, Edad: 34, Pais: Botswana
Nombre: EMILCE CHAVARRIA, Edad: 1, Pais: Botswana
Nombre: JORGE ISAAC MONGE, Edad: 51, Pais: Botswana
Nombre: BERNARD BOKENFOHR, Edad: 30, Pais: Brasil
Nombre: MARTA ARCE, Edad: 25, Pais: Brasilia
Nombre: CARLOS MONTEALEGRE, Edad: 43, Pais: Brasilia
Nombre: MARIO ALBERTO MELENDEZ, Edad: 98, Pais: Brasilia
Nombre: FLOR MARIA ARROYO, Edad: 7, Pais: Bratislava
Nombre: FLORY MAYELA CORDERO, Edad: 74, Pais: Bratislava
Nombre: JOSE CASTILLO, Edad: 75, Pais: Bratislava
Nombre: CARMEN AMERICA CHAVES, Edad: 30, Pais: Brazzaville
Nombre: MARIA TERESA DELGADO, Edad: 4, Pais: Brazzaville
Nombre: MARLIN BOZA, Edad: 14, Pais: Brazzaville
Nombre: MARIA CECILIA CASTRO, Edad: 59, Pais: Bridgetown
Nombre: ORLANDO JIMENEZ, Edad: 24, Pais: Bridgetown
Nombre: EDGAR ANTONIO MORA, Edad: 89, Pais: Brunei Darussalam
Nombre: VIRGINIA MURILLO, Edad: 78, Pais: Bucarest
Nombre: RAFAEL MATAMOROS, Edad: 43, Pais: Budapest
Nombre: FLOR MARIA ALVARADO, Edad: 2, Pais: Budapest
Nombre: GERARDO OLMEDO ARCE, Edad: 71, Pais: Budapest
Nombre: DORIS MARIA MADRIGAL, Edad: 16, Pais: Budapest
Nombre: MARIA DELFINA CHAVES, Edad: 95, Pais: Buenos Aires
Nombre: MERCEDES CORDERO, Edad: 35, Pais: Buenos Aires
Nombre: JORGE LUIS SILES, Edad: 82, Pais: Buenos Aires
Nombre: ANA ISABEL SANCHEZ, Edad: 15, Pais: Buenos Aires
Nombre: CARMEN LIDIETTE ALFARO, Edad: 22, Pais: Bulgaria
Nombre: BETTY PETRONILA FALLAS, Edad: 41, Pais: Burkina Faso
Nombre: RODRIGO HERNANDEZ, Edad: 5, Pais: Burkina Faso
Nombre: ELVIRA RAMIREZ, Edad: 98, Pais: Buyumbura
Nombre: JOAQUIN MENA, Edad: 45, Pais: Bélgica
Nombre: ROSARIA MENA, Edad: 18, Pais: Bélgica
Nombre: VILMA DIAZ, Edad: 50, Pais: Bélgica
Nombre: CHARLINE JIMENEZ, Edad: 45, Pais: Cabo Verde
Nombre: RAMON RIGOBERTO ARIAS, Edad: 71, Pais: Cabo Verde
Nombre: AMABLE CHINCHILLA, Edad: 37, Pais: Camboya
Nombre: JORGE ARTURO QUESADA, Edad: 99, Pais: Camboya
Nombre: GLORIA SALAZAR, Edad: 2, Pais: Canadá
Nombre: MANUEL CALVO, Edad: 21, Pais: Canadá
Nombre: SAMUEL CRUZ, Edad: 18, Pais: Canadá
Nombre: CARMEN ARIAS, Edad: 82, Pais: Canberra
Nombre: RODOLFO ARAYA, Edad: 4, Pais: Canberra
Nombre: RAFAELA HERRERA, Edad: 61, Pais: Caracas
Nombre: VENANCIO HUGO MESEN, Edad: 86, Pais: Caracas
Nombre: RAMON URBINO CHINCHILLA, Edad: 29, Pais: Castries
Nombre: JUAN MANUEL PORRAS, Edad: 90, Pais: Chad
Nombre: ELIZABETH RIVERA, Edad: 29, Pais: Chile
Nombre: RENE MARIN, Edad: 70, Pais: Chile
Nombre: FLOR DE MARIA VALVERDE, Edad: 31, Pais: China
Nombre: MARIANA VARGAS, Edad: 89, Pais: China
Nombre: JOSE ANTONIO MADRIGAL, Edad: 1, Pais: Chipre
Nombre: MARIO ANTONIO JIMENEZ, Edad: 14, Pais: Chipre
Nombre: DAISY SOLIS, Edad: 61, Pais: Chipre
Nombre: LIGIA MARIA QUIROS, Edad: 46, Pais: Chipre
Nombre: MILAY CASTRO, Edad: 38, Pais: Chipre
Nombre: MARIA DEL CARMEN CALVO, Edad: 92, Pais: Chisináu
Nombre: MARIA DAMARIS JIMENEZ, Edad: 76, Pais: Chisináu
Nombre: CARLOS LUIS BARRIENTOS, Edad: 90, Pais: Colombia
Nombre: MIRNA MARIA HERNANDEZ, Edad: 95, Pais: Colombia
Nombre: VIRGILIO VILLARREAL, Edad: 30, Pais: Comores
Nombre: GLADYS CALVO, Edad: 31, Pais: Comores
Nombre: MYRIAM PANA, Edad: 77, Pais: Conakri
Nombre: JOSE MANUEL JIMENEZ, Edad: 97, Pais: Conakri
Nombre: VILMA AZOFEIFA, Edad: 45, Pais: Conakri
Nombre: CLARISA DAMARIS CASTRO, Edad: 74, Pais: Copenhague
Nombre: EULALIA HERNANDEZ, Edad: 78, Pais: Corea del Norte
Nombre: RAFAEL ANTONIO RODRIGUEZ, Edad: 69, Pais: Corea del Sur
Nombre: CLAUDIA JARA, Edad: 67, Pais: Corea del Sur
Nombre: LIGIA ARAYA, Edad: 35, Pais: Corea del Sur
Nombre: ISOLINA GOMEZ, Edad: 10, Pais: Costa Rica
Nombre: ADOLFO CARVAJAL, Edad: 33, Pais: Costa Rica
Nombre: OLGA VILLALOBOS, Edad: 40, Pais: Costa de Marfil
Nombre: NELLY CORDERO, Edad: 91, Pais: Costa de Marfil
Nombre: LUIS ARIAS, Edad: 72, Pais: Croacia
Nombre: OLGA MARIA VASQUEZ, Edad: 54, Pais: Croacia
Nombre: ROMUALDO LOPEZ, Edad: 40, Pais: Cuba
Nombre: GERARDO ROMERO, Edad: 54, Pais: Cuba
Nombre: MARIA ESTER MORA, Edad: 82, Pais: Daca
Nombre: HILDA MARIA FLORES, Edad: 47, Pais: Dakar
Nombre: ELIECER ALTAMIRANO, Edad: 33, Pais: Damasco
Nombre: ZELMIRA SANCHEZ, Edad: 60, Pais: Damasco
Nombre: MARITZA PACHECO, Edad: 24, Pais: Dili
Nombre: TITO ROJAS, Edad: 6, Pais: Dinamarca
Nombre: IVET QUESADA, Edad: 31, Pais: Dodoma
Nombre: CARMEN MARIA RETANA, Edad: 13, Pais: Dodoma
Nombre: NELSON ULLOA, Edad: 69, Pais: Dodoma
Nombre: CECILIA MARIA SOLORZANO, Edad: 22, Pais: Dodoma
Nombre: MIGUEL ANGEL GUTIERREZ, Edad: 21, Pais: Doha
Nombre: OSCAR BONILLA, Edad: 75, Pais: Doha
Nombre: MARCO TULIO GARRO, Edad: 95, Pais: Doha
Nombre: IRENE BEATRIZ MORA, Edad: 64, Pais: Doha
Nombre: ZENEIDA MURILLO, Edad: 44, Pais: Doha
Nombre: BHOTTO REINALDO GONZALEZ, Edad: 2, Pais: Dominica
Nombre: JEDIT OCONITRILLO, Edad: 88, Pais: Dominica
Nombre: BLANCA MEZA, Edad: 61, Pais: Dublín
Nombre: MARIA JULIA CHAVES, Edad: 48, Pais: Dublín
Nombre: CARLOS ALBERTO ZAMORA, Edad: 73, Pais: Dublín
Nombre: CARLOS LUIS BARRANTES, Edad: 93, Pais: Dublín
Nombre: JOSE ANTONIO BLANCO, Edad: 61, Pais: Dublín
Nombre: ALCIA LIYI TENORIO, Edad: 32, Pais: Dusambé
Nombre: OLGER VICENTE BARTELS, Edad: 86, Pais: Dusambé
Nombre: MANUEL FRANCISCO GRANADOS, Edad: 81, Pais: Ecuador
Nombre: MARIA FELICIA CASTRO, Edad: 16, Pais: Ecuador
Nombre: RODOLFO BORBON, Edad: 51, Pais: Egipto
Nombre: ELIZABETH CRUZ, Edad: 95, Pais: Egipto
Nombre: MARIA LUISA MENDEZ, Edad: 43, Pais: Egipto
Nombre: HANNIA MARIA MARIN, Edad: 1, Pais: Egipto
Nombre: MARTA GERARDINA ARGUELLO, Edad: 77, Pais: Egipto
Nombre: ALVARO BLANCO, Edad: 70, Pais: El Cairo
Nombre: FLERIDA ELIZONDO, Edad: 64, Pais: El Salvador
Nombre: JORGE DIAZ, Edad: 98, Pais: El Salvador
Nombre: MARIA ELENA VALVERDE, Edad: 59, Pais: Emiratos Árabes Unidos
Nombre: JUAN MERCADO, Edad: 30, Pais: Emiratos Árabes Unidos
Nombre: ANA MARIA ROJAS, Edad: 73, Pais: Ereván
Nombre: RAMON AVALOS, Edad: 51, Pais: Ereván
Nombre: MARIA EUGENIA MORA, Edad: 62, Pais: Ereván
Nombre: CARLOS GOMEZ, Edad: 84, Pais: Ereván
Nombre: FLORY SOLANO, Edad: 62, Pais: Eritrea
Nombre: CARMEN VIOLETA MORA, Edad: 77, Pais: Eritrea
Nombre: ROSA MARIA FONSECA, Edad: 79, Pais: Eslovaquia
Nombre: HERNAN ALBERTO NAVARRO, Edad: 55, Pais: Eslovaquia
Nombre: JUAN MANUEL CORDOBA, Edad: 81, Pais: Eslovaquia
Nombre: MIGUEL ANGEL BARBOZA, Edad: 1, Pais: Eslovenia
Nombre: LUIS FRANCISCO OCONITRILLO, Edad: 1, Pais: Eslovenia
Nombre: GERMAN GERARDO CASCANTE, Edad: 58, Pais: Eslovenia
Nombre: GUILLERMO MANSO, Edad: 86, Pais: España
Nombre: FLOR MARIA ARCE, Edad: 87, Pais: España
Nombre: MIGUEL ANGEL ULATE, Edad: 78, Pais: Estados Federados de Micronesia
Nombre: RAFAEL SANDI, Edad: 6, Pais: Estados Federados de Micronesia
Nombre: JORGE ARTURO CHAVARRIA, Edad: 29, Pais: Estados Federados de Micronesia
Nombre: HELIODORA MORA, Edad: 37, Pais: Estados Federados de Micronesia
Nombre: MARIA CRISTINA PERALTA, Edad: 85, Pais: Estados Federados de Micronesia
Nombre: MARGARITA DURAN, Edad: 81, Pais: Estados Federados de Micronesia
Nombre: ANA ISABEL SIBAJA, Edad: 98, Pais: Estados Unidos
Nombre: ULISES ALVARADO, Edad: 60, Pais: Estados Unidos
Nombre: VICENTA ELIETH MENDEZ, Edad: 74, Pais: Estados Unidos
Nombre: IRIA MARIA RODRIGUEZ, Edad: 11, Pais: Estocolmo
Nombre: ROBERTO GERARDO HERNANDEZ, Edad: 26, Pais: Estocolmo
Nombre: MARIO GERARDO CHACON, Edad: 56, Pais: Estocolmo
Nombre: JOSE ANGEL BLANCO, Edad: 44, Pais: Etiopía
Nombre: HILDA MARIA DURAN, Edad: 27, Pais: Etiopía
Nombre: JORGE ARTURO MATA, Edad: 45, Pais: Etiopía
Nombre: EDGAR GUERRERO, Edad: 98, Pais: Federación Rusa
Nombre: NELLY CERDAS, Edad: 87, Pais: Fidji
Nombre: MERCEDES ELENA SIBAJA, Edad: 58, Pais: Fidji
Nombre: FERNANDO CASTILLO, Edad: 50, Pais: Fidji
Nombre: GONZALO GERARDO MADRIZ, Edad: 55, Pais: Fidji
Nombre: ALFREDO SOLIS, Edad: 17, Pais: Filipinas
Nombre: MARIA ELENA MORA, Edad: 51, Pais: Filipinas
Nombre: BLANCA NIDIA PIZARRO, Edad: 20, Pais: Filipinas
Nombre: MARIA ANGELA OROZCO, Edad: 90, Pais: Filipinas
Nombre: MYRIAM MENDEZ, Edad: 41, Pais: Finlandia
Nombre: WILLIAM SAENZ, Edad: 89, Pais: Francia
Nombre: MARIA ISABEL ROJAS, Edad: 73, Pais: Francia
Nombre: MALAQUIAS FERNANDEZ, Edad: 96, Pais: Freetown
Nombre: MARIA ANTONIETA CAMPOS, Edad: 51, Pais: Funafuti
Nombre: CARLOS EDUARDO RAMIREZ, Edad: 69, Pais: Funafuti
Nombre: JOSE CORDERO, Edad: 7, Pais: Gaborone
Nombre: GUILLERMO GUEVARA, Edad: 71, Pais: Gaborone
Nombre: FLOR DE MARIA BORBON, Edad: 69, Pais: Gaborone
Nombre: ARMANDO ALFARO, Edad: 53, Pais: Gaborone
Nombre: CARMEN BARQUERO, Edad: 74, Pais: Gaborone
Nombre: CECILIA QUIROS, Edad: 24, Pais: Gaborone
Nombre: TELSIE VALVERDE, Edad: 5, Pais: Gabón
Nombre: JOSE ANDRES MONTERO, Edad: 81, Pais: Gabón
Nombre: DAISY FERNANDEZ, Edad: 25, Pais: Gambia
Nombre: MARIA ELENA MORA, Edad: 65, Pais: Gambia
Nombre: DINORAH VIRGINIA CHACON, Edad: 69, Pais: Gambia
Nombre: JENNY CERVANTES, Edad: 99, Pais: Gambia
Nombre: FLORIA CARBONI, Edad: 17, Pais: Georgetown
Nombre: MELITINA CABRERA, Edad: 19, Pais: Georgia
Nombre: FLOR DE MARIA MADRIGAL, Edad: 15, Pais: Georgia
Nombre: MARCO ARTURO VALVERDE, Edad: 16, Pais: Georgia
Nombre: LUZ MARINA FONSECA, Edad: 76, Pais: Ghana
Nombre: IRMA UMAÑA, Edad: 96, Pais: Ghana
Nombre: ANABELLA ALVARADO, Edad: 63, Pais: Ghana
Nombre: RODOLFO MONTOYA, Edad: 28, Pais: Gibraltar
Nombre: MYRIAM ZUMBADO, Edad: 95, Pais: Gran Bretaña
Nombre: JEANNETTE GARCIA, Edad: 90, Pais: Gran Bretaña
Nombre: RODRIGO JIMENEZ, Edad: 37, Pais: Granada
Nombre: FLORA MARIA OBANDO, Edad: 37, Pais: Grecia
Nombre: OFELIA GUTIERREZ, Edad: 30, Pais: Grecia
Nombre: FLORY ISABEL BRAVO, Edad: 24, Pais: Guadalupe
Nombre: ANA FELICIA VARGAS, Edad: 19, Pais: Guam
Nombre: EMERITA MARIN, Edad: 53, Pais: Guam
Nombre: MIRIAM VILLALOBOS, Edad: 72, Pais: Guatemala
Nombre: CARLOS FALLAS, Edad: 61, Pais: Guatemala
Nombre: ODILIE UREÑA, Edad: 79, Pais: Guatemala
Nombre: JOSE GERARDO MORA, Edad: 30, Pais: Guatemala
Nombre: MIGUEL ANGEL MORALES, Edad: 59, Pais: Guatemala
Nombre: EVELIO RAMIREZ, Edad: 6, Pais: Guernsey
Nombre: LUIS GERARDO SERRANO, Edad: 71, Pais: Guernsey
Nombre: ALEXIS RODRIGUEZ, Edad: 100, Pais: Guernsey
Nombre: CASIMIRO CARVAJAL, Edad: 55, Pais: Guinea Bissau
Nombre: AIDA MARIA ROJAS, Edad: 66, Pais: Guinea Ecuatorial
Nombre: ANA HERMINIA PORTUGUEZ, Edad: 84, Pais: Guyana
Nombre: OLGA CLAUDIA ZUÑIGA, Edad: 31, Pais: Guyana
Nombre: CARLOS ROJAS, Edad: 1, Pais: Haiti
Nombre: JORGE RAMOS, Edad: 43, Pais: Haiti
Nombre: ELIA CHACON, Edad: 26, Pais: Hanói
Nombre: MARIA GUILLERMINA GODINEZ, Edad: 36, Pais: Harare
Nombre: ALICIA MASIS, Edad: 17, Pais: Helsinki
Nombre: JOSEFINA ZAMORA, Edad: 34, Pais: Honduras
Nombre: MARIO ANTONIO TORRES, Edad: 86, Pais: Honduras
Nombre: FLORENTINA MORA, Edad: 49, Pais: Honduras
Nombre: ELIETH DELGADO, Edad: 54, Pais: Honduras
Nombre: CATALINA ROMAN, Edad: 30, Pais: Hong Kong
Nombre: LUIS GUILLERMO LOPEZ, Edad: 24, Pais: Hong Kong
Nombre: ANTONIA MARIA ACUÑA, Edad: 39, Pais: Honiara
Nombre: ALFREDO CHAVES, Edad: 71, Pais: Honiara
Nombre: JUSTA MARTA VAUGHAN, Edad: 70, Pais: Hungría
Nombre: GERMAN ZUÑIGA, Edad: 35, Pais: Hungría
Nombre: LUIS ANGEL MORALES, Edad: 69, Pais: Hungría
Nombre: ESTER MARIA GONZALEZ, Edad: 27, Pais: India
Nombre: ROLANDO GUILLERMO CORDERO, Edad: 8, Pais: India
Nombre: ABILIO VALVERDE, Edad: 96, Pais: Indonesia
Nombre: MARIA MORA, Edad: 38, Pais: Indonesia
Nombre: JOSE ANGEL BARRERA, Edad: 11, Pais: Indonesia
Nombre: MARIA EUGENIA CASTRO, Edad: 1, Pais: Iraq
Nombre: CRISTOBAL ROMERO, Edad: 18, Pais: Iraq
Nombre: JUAN JOSE ZUÑIGA, Edad: 93, Pais: Irlanda
Nombre: DEISY CAMPOS, Edad: 12, Pais: Irlanda
Nombre: JOSE GERARDO FERNANDEZ, Edad: 70, Pais: Irlanda
Nombre: ANALIVE SOLIS, Edad: 9, Pais: Irán
Nombre: JUAN MENA, Edad: 55, Pais: Isla Ascension
Nombre: ROSA MINTZ, Edad: 20, Pais: Isla Bouvet
Nombre: ROSA BENAVIDES, Edad: 8, Pais: Isla Christmas
Nombre: MARIA CECILIA MARTINEZ, Edad: 6, Pais: Isla Christmas
Nombre: DORA PATRICIA RODRIGUEZ, Edad: 74, Pais: Isla De Navidad
Nombre: CARLOS ENRIQUE GUTIERREZ, Edad: 86, Pais: Isla De Navidad
Nombre: ROBERTO GERARDO CALDERON, Edad: 87, Pais: Isla De Navidad
Nombre: CARMEN MOLINA, Edad: 7, Pais: Isla Jan Mayen
Nombre: ADELAIDA BADILLA, Edad: 77, Pais: Isla Jan Mayen
Nombre: IRIS MARIA UREÑA, Edad: 83, Pais: Isla Jan Mayen
Nombre: ANA CECILIA GOMEZ, Edad: 7, Pais: Isla Pitcairn
Nombre: FABIOLA CHAVES, Edad: 94, Pais: Isla Pitcairn
Nombre: GERMAN NAVARRO, Edad: 6, Pais: Islamabad
Nombre: IVETTE HEATHLY CARTER, Edad: 67, Pais: Islamabad
Nombre: MIRIAM MORA, Edad: 48, Pais: Islamabad
Nombre: MARIA CECILIA DIAZ, Edad: 9, Pais: Islandia
Nombre: GUILLERMO SECO, Edad: 49, Pais: Islas Caimán
Nombre: ELENO RAFAEL ELIZONDO, Edad: 46, Pais: Islas Cocos
Nombre: LUZ MYRIAM SIBAJA, Edad: 70, Pais: Islas Cocos
Nombre: ROSALINA RETANA, Edad: 11, Pais: Islas Cocos
Nombre: ESTELA DEL CARMEN VALVERDE, Edad: 6, Pais: Islas Cook
Nombre: ROSA MARIA ANGULO, Edad: 41, Pais: Islas Cook
Nombre: GERARDO ZUÑIGA, Edad: 31, Pais: Islas Cook
Nombre: GERARDO FLORES, Edad: 8, Pais: Islas Cook
Nombre: TERESA RAMIREZ, Edad: 12, Pais: Islas Feroe
Nombre: BERTA QUIROS, Edad: 37, Pais: Islas Feroe
Nombre: PAULINA ROJAS, Edad: 21, Pais: Islas Malvinas
Nombre: FLORIA CORDERO, Edad: 10, Pais: Islas Malvinas
Nombre: MANUEL UREÑA, Edad: 86, Pais: Islas Marshall
Nombre: ABEL LOPEZ, Edad: 73, Pais: Islas Turcas y Caicos
Nombre: VICTOR MAX SOLEY, Edad: 23, Pais: Islas Turcas y Caicos
