Tiempo: 0.089000

Nombre: JUAN BAUTISTA QUIROS, Edad: 100, Pais: Abu Dabi
Nombre: MARITZA FERNANDEZ, Edad: 74, Pais: Abu Dabi
Nombre: MARIA CRISTINA MORALES, Edad: 15, Pais: Abu Dabi
Nombre: RAMON MORALES, Edad: 32, Pais: Abu Dabi
Nombre: MARIA ISABEL RIVERA, Edad: 72, Pais: Abu Dabi
Nombre: JOSE ARIAS, Edad: 36, Pais: Abu Dabi
Nombre: VIRIA MOYA, Edad: 1, Pais: Abu Dabi
Nombre: FLORY ARDON, Edad: 51, Pais: Abu Dabi
Nombre: ANGEL MORA, Edad: 65, Pais: Abu Dabi
Nombre: JOSE DELFIN FALLAS, Edad: 17, Pais: Abu Dabi
Nombre: ROSARIO PERAZA, Edad: 30, Pais: Abu Dabi
Nombre: LIDIA OFELIA GARITA, Edad: 7, Pais: Abu Dabi
Nombre: JOSEFA MENDEZ, Edad: 45, Pais: Abu Dabi
Nombre: MIREYA DURAN, Edad: 31, Pais: Abu Dabi
Nombre: YINET SOJO, Edad: 13, Pais: Abu Dabi
Nombre: ODILIE DIAZ, Edad: 10, Pais: Abu Dabi
Nombre: EGLANTINA BALDIZON, Edad: 66, Pais: Abu Dabi
Nombre: AMELIA QUIROS, Edad: 45, Pais: Abu Dabi
Nombre: MARIA ISABEL MORALES, Edad: 42, Pais: Abu Dabi
Nombre: JOSE ENRIQUE SOTO, Edad: 55, Pais: Abu Dabi
Nombre: ZAIRA CALDERON, Edad: 1, Pais: Abu Dabi
Nombre: ANTONIO GUIDO CHACON, Edad: 67, Pais: Abu Dabi
Nombre: HILDA CAMBRONERO, Edad: 82, Pais: Abu Dabi
Nombre: LUIS PABLO MURILLO, Edad: 21, Pais: Abu Dabi
Nombre: MEREIDA GOMEZ, Edad: 100, Pais: Abu Dabi
Nombre: XINIA CHAVARRIA, Edad: 65, Pais: Abu Dabi
Nombre: TRINIDAD ESPINOZA, Edad: 17, Pais: Abu Dabi
Nombre: FLORA PICADO, Edad: 77, Pais: Abu Dabi
Nombre: MANUEL MONGE, Edad: 37, Pais: Abu Dabi
Nombre: ANA MARIA MORALES, Edad: 100, Pais: Abu Dabi
Nombre: VIRGINIA MARIA CASTRO, Edad: 1, Pais: Abu Dabi
Nombre: CARMEN GUERRERO, Edad: 73, Pais: Abu Dabi
Nombre: EFRAIN FLORES, Edad: 42, Pais: Abu Dabi
Nombre: ALICIA ROJAS, Edad: 15, Pais: Abu Dabi
Nombre: VIRGINIA PORTILLA, Edad: 97, Pais: Abu Dabi
Nombre: VIRGINIA OCONITRILLO, Edad: 32, Pais: Abu Dabi
Nombre: ADELIA QUIROS, Edad: 20, Pais: Abu Dabi
Nombre: MARIA DEL ROSARIO ULLOA, Edad: 98, Pais: Abu Dabi
Nombre: CRISTOBAL ROMERO, Edad: 71, Pais: Abuya
Nombre: LUIS ROBERTO ZUÑIGA, Edad: 90, Pais: Abuya
Nombre: JORGE GUERRERO, Edad: 51, Pais: Abuya
Nombre: VERNOR JUAN MESEN, Edad: 54, Pais: Abuya
Nombre: RODRIGO VANDER LAAT, Edad: 56, Pais: Abuya
Nombre: JOSE ALBERTO VARGAS, Edad: 62, Pais: Abuya
Nombre: GUIDO JOAQUIN MOYA, Edad: 6, Pais: Abuya
Nombre: JORGE QUIROS, Edad: 4, Pais: Abuya
Nombre: MARIO SOLANO, Edad: 58, Pais: Abuya
Nombre: LIDIETTE CORDERO, Edad: 95, Pais: Abuya
Nombre: CARLOS MANUEL MADRIGAL, Edad: 80, Pais: Abuya
Nombre: MARTA EUGENIA CHACON, Edad: 79, Pais: Abuya
Nombre: CARLOS ELIAS MORA, Edad: 16, Pais: Abuya
Nombre: FULVIO SOLIS, Edad: 38, Pais: Abuya
Nombre: CARLOS ALBERTO ZUÑIGA, Edad: 83, Pais: Abuya
Nombre: ESPERANZA SALAS, Edad: 12, Pais: Abuya
Nombre: VIRGINIA VARGAS, Edad: 48, Pais: Abuya
Nombre: VYRIA ARAYA, Edad: 36, Pais: Abuya
Nombre: PANCRACIO RODRIGUEZ, Edad: 79, Pais: Abuya
Nombre: JORGE GOMEZ, Edad: 18, Pais: Abuya
Nombre: MERLIN ALBERTO SALAS, Edad: 46, Pais: Abuya
Nombre: ELISA CASTEGNARO, Edad: 24, Pais: Abuya
Nombre: TERESA VINDAS, Edad: 33, Pais: Abuya
Nombre: ROBERTO BARBOZA, Edad: 22, Pais: Abuya
Nombre: EDWIN VALVERDE, Edad: 55, Pais: Abuya
Nombre: BELFOR FRANCISCO CHACON, Edad: 87, Pais: Abuya
Nombre: ARNOLDO BARRIOS, Edad: 40, Pais: Abuya
Nombre: CARMEN VEGA, Edad: 80, Pais: Abuya
Nombre: JOSE BENJAMIN BOLAÑOS, Edad: 71, Pais: Abuya
Nombre: ANA ISABEL MURILLO, Edad: 6, Pais: Abuya
Nombre: MARIA DE LOS ANGELES CESPEDES, Edad: 32, Pais: Abuya
Nombre: ILMA VENEGAS, Edad: 40, Pais: Abuya
Nombre: FLORA DIAZ, Edad: 2, Pais: Abuya
Nombre: LUCILA FERNANDEZ, Edad: 30, Pais: Abuya
Nombre: DANIEL NUÑEZ, Edad: 45, Pais: Abuya
Nombre: MARIA LUISA JIMENEZ, Edad: 1, Pais: Abuya
Nombre: JOSEFA BEJARANO, Edad: 9, Pais: Abuya
Nombre: ADILIA HERRERA, Edad: 72, Pais: Abuya
Nombre: ALCIDES CALDERON, Edad: 80, Pais: Abuya
Nombre: JUVENCIO MORA, Edad: 91, Pais: Abuya
Nombre: MARTA ARCE, Edad: 8, Pais: Abuya
Nombre: MARGARITA SEGURA, Edad: 69, Pais: Abuya
Nombre: LUZMILDA DELGADO, Edad: 12, Pais: Abuya
Nombre: GONZALO FERNANDEZ, Edad: 53, Pais: Abuya
Nombre: JORGE ALBERTO RAMIREZ, Edad: 76, Pais: Abuya
Nombre: ESPERANZA LIZANO, Edad: 78, Pais: Abuya
Nombre: CLEMENCIA GONZALEZ, Edad: 85, Pais: Abuya
Nombre: JESUS ARCE, Edad: 21, Pais: Abuya
Nombre: AMALIA CASTRO, Edad: 95, Pais: Abuya
Nombre: JULIO UMAÑA, Edad: 92, Pais: Abuya
Nombre: RUBEN NARANJO, Edad: 78, Pais: Abuya
Nombre: GERARDO BLANCO, Edad: 47, Pais: Abuya
Nombre: MARTA FLORES, Edad: 96, Pais: Abuya
Nombre: FLOR DE MARIA CUBILLO, Edad: 27, Pais: Abuya
Nombre: GUADALUPE RUBI, Edad: 15, Pais: Abuya
Nombre: CARLOS MIGUEL PORTUGUEZ, Edad: 62, Pais: Abuya
Nombre: JORGE CHAVERRI, Edad: 3, Pais: Abuya
Nombre: ESTRELLA CORDOBA, Edad: 42, Pais: Abuya
Nombre: JOSE ANTONIO ARIAS, Edad: 57, Pais: Abuya
Nombre: LUIS FLORES, Edad: 44, Pais: Abuya
Nombre: MARIA ISABEL LEDEZMA, Edad: 66, Pais: Abuya
Nombre: JOSE JOAQUIN BRENES, Edad: 50, Pais: Abuya
Nombre: EIDA CALDERON, Edad: 6, Pais: Abuya
Nombre: MARIA TREJOS, Edad: 34, Pais: Abuya
Nombre: MARIA EUGENIA VARGAS, Edad: 33, Pais: Abuya
Nombre: DULCELINA JIMENEZ, Edad: 75, Pais: Abuya
Nombre: MARIA GLORIA MADRIGAL, Edad: 1, Pais: Abuya
Nombre: ENRIQUE ARIAS, Edad: 26, Pais: Abuya
Nombre: JOAQUINA ROBLES, Edad: 6, Pais: Abuya
Nombre: LAURA FALLAS, Edad: 38, Pais: Abuya
Nombre: VIRGINIA CORDERO, Edad: 60, Pais: Abuya
Nombre: RAFAEL ANGEL BARRIENTOS, Edad: 88, Pais: Abuya
Nombre: ILUMINADA PRADO, Edad: 21, Pais: Abuya
Nombre: MARIA TERESA ABARCA, Edad: 10, Pais: Abuya
Nombre: TERESITA JIMENEZ, Edad: 51, Pais: Abuya
Nombre: ANTONIO GOMEZ, Edad: 6, Pais: Abuya
Nombre: OLGA BONILLA, Edad: 23, Pais: Abuya
Nombre: AMADA CALDERON, Edad: 100, Pais: Abuya
Nombre: CARLOS MONGE, Edad: 4, Pais: Abuya
Nombre: BENIGNO ABARCA, Edad: 6, Pais: Abuya
Nombre: LILIA PERALTA, Edad: 23, Pais: Abuya
Nombre: MERCEDES MONGE, Edad: 5, Pais: Accra
Nombre: AMANDO ASTUA, Edad: 60, Pais: Accra
Nombre: JULIA MARIA SEGURA, Edad: 90, Pais: Accra
Nombre: RAFAEL ANGEL MOLINA, Edad: 4, Pais: Accra
Nombre: RAFAEL ERNESTO VEGA, Edad: 61, Pais: Accra
Nombre: MARIA ENRIQUETA HIDALGO, Edad: 80, Pais: Accra
Nombre: CARMEN LIGIA VEGA, Edad: 80, Pais: Accra
Nombre: MIRIAM SEGURA, Edad: 17, Pais: Accra
Nombre: VILMA JEANETTE BARQUERO, Edad: 39, Pais: Accra
Nombre: CECILIA UMAÑA, Edad: 75, Pais: Accra
Nombre: LUZ RETANA, Edad: 79, Pais: Accra
Nombre: GEORGINA BADILLA, Edad: 18, Pais: Accra
Nombre: MERCEDES QUESADA, Edad: 2, Pais: Accra
Nombre: ANTONIA MERIDA ZUÑIGA, Edad: 36, Pais: Accra
Nombre: MARIA CECILIA VARGAS, Edad: 97, Pais: Accra
Nombre: GLADYS CECILIA SOTO, Edad: 27, Pais: Accra
Nombre: MANUELA AURORA MORA, Edad: 36, Pais: Accra
Nombre: ANA CECILIA MACAYA, Edad: 89, Pais: Accra
Nombre: JORGE ARTURO RODRIGUEZ, Edad: 51, Pais: Accra
Nombre: RONALD GUTIERREZ, Edad: 71, Pais: Accra
Nombre: EMILCE RAMONA CHAVES, Edad: 7, Pais: Accra
Nombre: ROSA INES FLORES, Edad: 58, Pais: Accra
Nombre: ETELGIVE CAMPOS, Edad: 11, Pais: Accra
Nombre: DINORAH FALLAS, Edad: 83, Pais: Accra
Nombre: JULIA BONILLA, Edad: 25, Pais: Accra
Nombre: ENRIQUETA CORRALES, Edad: 62, Pais: Accra
Nombre: MARIA EUGENIA TREJOS, Edad: 45, Pais: Accra
Nombre: MARIA EUGENIA MENDEZ, Edad: 70, Pais: Accra
Nombre: CARMEN ALICIA TORRES, Edad: 76, Pais: Accra
Nombre: JOVITA JIMENEZ, Edad: 26, Pais: Accra
Nombre: LUZMILDO RIVERA, Edad: 48, Pais: Accra
Nombre: JUAN CAMPOS, Edad: 11, Pais: Accra
Nombre: RAFAEL SANCHEZ, Edad: 55, Pais: Accra
Nombre: EFRAIN DELGADO, Edad: 94, Pais: Accra
Nombre: CARMEN IRIS SALAS, Edad: 28, Pais: Accra
Nombre: ODILIE ANGULO, Edad: 76, Pais: Accra
Nombre: ARNOLDO CHACON, Edad: 44, Pais: Accra
Nombre: TERESA CAMPOS, Edad: 17, Pais: Accra
Nombre: JOSE FRANCISCO FERNANDEZ, Edad: 57, Pais: Accra
Nombre: HERMELINDA SERRANO, Edad: 20, Pais: Accra
Nombre: AMABLE BRENES, Edad: 23, Pais: Accra
Nombre: VICTOR MANUEL SOLIS, Edad: 18, Pais: Accra
Nombre: LUZ MARIA CASCANTE, Edad: 66, Pais: Accra
Nombre: FIDELANDIA ORTEGA, Edad: 89, Pais: Accra
Nombre: OFELIA ARIAS, Edad: 24, Pais: Accra
Nombre: ALVARO GUASCH, Edad: 65, Pais: Accra
Nombre: ELIZABETH ROBSON, Edad: 47, Pais: Accra
Nombre: MIRIAM ROSA SANCHEZ, Edad: 55, Pais: Accra
Nombre: CARLOS MANUEL LIZANO, Edad: 2, Pais: Accra
Nombre: MARIA ERNESTINA CHAVES, Edad: 50, Pais: Accra
Nombre: ALBERTO CESPEDES, Edad: 34, Pais: Accra
Nombre: MARIA ISABEL ULLOA, Edad: 6, Pais: Accra
Nombre: TRINIDAD HERNANDEZ, Edad: 12, Pais: Accra
Nombre: JOSE HERNANDEZ, Edad: 18, Pais: Accra
Nombre: MANUEL ANCHIA, Edad: 66, Pais: Accra
Nombre: SIGIFREDO VARGAS, Edad: 71, Pais: Accra
Nombre: FLOR DE MARIA HERRA, Edad: 22, Pais: Accra
Nombre: RAMONA DIAZ, Edad: 99, Pais: Accra
Nombre: ISABEL HERNANDEZ, Edad: 63, Pais: Accra
Nombre: CARLOS LUIS ESQUIVEL, Edad: 13, Pais: Accra
Nombre: EMERITA DURAN, Edad: 62, Pais: Accra
Nombre: LEONEL NAVARRO, Edad: 73, Pais: Accra
Nombre: ANA ISABEL TRUQUE, Edad: 17, Pais: Accra
Nombre: MARIA LOURDES VALVERDE, Edad: 19, Pais: Accra
Nombre: MIGUEL ANGEL ROJAS, Edad: 12, Pais: Accra
Nombre: MANUEL ENRIQUE SOLIS, Edad: 52, Pais: Accra
Nombre: ABILIO QUESADA, Edad: 77, Pais: Accra
Nombre: CLAUDIO MOLINA, Edad: 65, Pais: Accra
Nombre: ULISES HERNANDEZ, Edad: 50, Pais: Accra
Nombre: ANGELA DEL CARMEN GUEVARA, Edad: 31, Pais: Accra
Nombre: GLORIA ROJAS, Edad: 51, Pais: Accra
Nombre: CONSUELO ALPIZAR, Edad: 83, Pais: Accra
Nombre: MIREYA VIRGINIA MONTALVAN, Edad: 39, Pais: Accra
Nombre: EMILIO RAMIREZ, Edad: 2, Pais: Accra
Nombre: ALEXIS CERDAS, Edad: 68, Pais: Accra
Nombre: MIGUEL ANGEL ROBLES, Edad: 25, Pais: Accra
Nombre: MARIA EUGENIA CHAVARRIA, Edad: 60, Pais: Accra
Nombre: ADRIAN MORA, Edad: 57, Pais: Accra
Nombre: FLORY MORA, Edad: 6, Pais: Accra
Nombre: MARIA SANCHEZ, Edad: 73, Pais: Accra
Nombre: JOSE LUIS UREÑA, Edad: 30, Pais: Accra
Nombre: VITALIA SOLANO, Edad: 70, Pais: Accra
Nombre: MIGDALIA SALAZAR, Edad: 100, Pais: Accra
Nombre: SERGIO AGUERO, Edad: 29, Pais: Accra
Nombre: MARIA TERESA VASQUEZ, Edad: 28, Pais: Accra
Nombre: MARIA QUESADA, Edad: 98, Pais: Accra
Nombre: CECILIA MORA, Edad: 98, Pais: Accra
Nombre: MARIA ISABEL RODRIGUEZ, Edad: 80, Pais: Accra
Nombre: PABLO CONTRERAS, Edad: 22, Pais: Accra
Nombre: JORGE GUTIERREZ, Edad: 9, Pais: Accra
Nombre: MARCIAL MORA, Edad: 44, Pais: Accra
Nombre: JOSE FRANCISCO SERRANO, Edad: 69, Pais: Accra
Nombre: FRANCISCO JIMENEZ, Edad: 14, Pais: Accra
Nombre: JULIO BEJARANO, Edad: 79, Pais: Accra
Nombre: ANGEL MEZA, Edad: 41, Pais: Accra
Nombre: RAMONA JIMENEZ, Edad: 93, Pais: Accra
Nombre: ALEJANDRO MIGUEL SANDI, Edad: 25, Pais: Accra
Nombre: JENARO ALPIZAR, Edad: 32, Pais: Accra
Nombre: CARMEN CAMPOS, Edad: 38, Pais: Accra
Nombre: DAISY ZUÑIGA, Edad: 29, Pais: Accra
Nombre: RAFAEL JIMENEZ, Edad: 49, Pais: Accra
Nombre: ESMERALDA MONTERO, Edad: 4, Pais: Accra
Nombre: DELFINA CORDOBA, Edad: 3, Pais: Accra
Nombre: HILDA MARIA MENA, Edad: 92, Pais: Adís Abeba
Nombre: MIRIAM PIEDRA, Edad: 38, Pais: Adís Abeba
Nombre: ANA MARIA BALSER, Edad: 86, Pais: Adís Abeba
Nombre: LIEREZ AGUILAR, Edad: 79, Pais: Adís Abeba
Nombre: RODRIGO MOYA, Edad: 2, Pais: Adís Abeba
Nombre: RIGOBERTO GUILLERMO ARAYA, Edad: 43, Pais: Adís Abeba
Nombre: RITA GUADAMUZ, Edad: 56, Pais: Adís Abeba
Nombre: BLANCA ROSA CORDERO, Edad: 76, Pais: Adís Abeba
Nombre: MARIA ETELVINA GUEVARA, Edad: 19, Pais: Adís Abeba
Nombre: VICTOR MANUEL ESPELETA, Edad: 75, Pais: Adís Abeba
Nombre: FLORIBET CALDERON, Edad: 6, Pais: Adís Abeba
Nombre: MANUEL CONSTANTINO FALLAS, Edad: 51, Pais: Adís Abeba
Nombre: MARIA CECILIA ACOSTA, Edad: 26, Pais: Adís Abeba
Nombre: JUAN BAUTISTA MORALES, Edad: 20, Pais: Adís Abeba
Nombre: ENRIQUE ALBERTO MORALES, Edad: 21, Pais: Adís Abeba
Nombre: GILBERT MORA, Edad: 19, Pais: Adís Abeba
Nombre: MAGDALENA ROJAS, Edad: 61, Pais: Adís Abeba
Nombre: THAIS CASTRO, Edad: 25, Pais: Adís Abeba
Nombre: MARIA ELENA SOLIS, Edad: 2, Pais: Adís Abeba
Nombre: MIGUEL GARCIA, Edad: 2, Pais: Adís Abeba
Nombre: MARIO AGUILAR, Edad: 36, Pais: Adís Abeba
Nombre: FRANCINIE CHAVES, Edad: 11, Pais: Adís Abeba
Nombre: MARIA DE LOS ANGELES MORA, Edad: 1, Pais: Adís Abeba
Nombre: LUZ MARINA CASTILLO, Edad: 45, Pais: Adís Abeba
Nombre: CARMEN PEÑARANDA, Edad: 29, Pais: Adís Abeba
Nombre: MIGUEL ANGEL BARBOZA, Edad: 97, Pais: Adís Abeba
Nombre: EDDY ALPIZAR, Edad: 72, Pais: Adís Abeba
Nombre: RAMON ULISES CALVO, Edad: 31, Pais: Adís Abeba
Nombre: BRAULIO ALBERTO MORALES, Edad: 61, Pais: Adís Abeba
Nombre: CARLOS MARIN, Edad: 57, Pais: Adís Abeba
Nombre: GLADYS UMAÑA, Edad: 74, Pais: Adís Abeba
Nombre: RAFAEL HUGO JIMENEZ, Edad: 84, Pais: Adís Abeba
Nombre: ISABEL HIDALGO, Edad: 12, Pais: Adís Abeba
Nombre: CARLOS LUIS MELENDEZ, Edad: 31, Pais: Adís Abeba
Nombre: SOCORRO ZORAIDA UREÑA, Edad: 24, Pais: Adís Abeba
Nombre: ROSAURA JIMENEZ, Edad: 26, Pais: Adís Abeba
Nombre: JOSE MARIA HERRERA, Edad: 76, Pais: Adís Abeba
Nombre: ELIZABETH VALVERDE, Edad: 52, Pais: Adís Abeba
Nombre: ODILIA MARIA PORRAS, Edad: 24, Pais: Adís Abeba
Nombre: AMALIA QUIROS, Edad: 24, Pais: Adís Abeba
Nombre: ELIDA JOSEFINA AGUERO, Edad: 100, Pais: Adís Abeba
Nombre: HAYDEE ZUÑIGA, Edad: 12, Pais: Adís Abeba
Nombre: GLORIA QUIROS, Edad: 94, Pais: Adís Abeba
Nombre: CARMEN MUÑOZ, Edad: 92, Pais: Adís Abeba
Nombre: ANTONIA MONGE, Edad: 70, Pais: Adís Abeba
Nombre: LINA RAFAELA PEREZ, Edad: 27, Pais: Adís Abeba
Nombre: VIRGINIA VARGAS, Edad: 11, Pais: Adís Abeba
Nombre: ARACELLI CHAVARRIA, Edad: 80, Pais: Adís Abeba
Nombre: EDUARDO ROJAS, Edad: 32, Pais: Adís Abeba
Nombre: BELISARIO MARIN, Edad: 82, Pais: Adís Abeba
Nombre: CLAUDIA PEÑA, Edad: 10, Pais: Adís Abeba
Nombre: MARIA RITA LOPEZ, Edad: 44, Pais: Adís Abeba
Nombre: MANUEL ENRIQUE DURAN, Edad: 42, Pais: Adís Abeba
Nombre: ELICIO MORA, Edad: 87, Pais: Adís Abeba
Nombre: BELISARIO SANCHEZ, Edad: 11, Pais: Adís Abeba
Nombre: ANGELA SERRANO, Edad: 81, Pais: Adís Abeba
Nombre: BELARMINA VARGAS, Edad: 33, Pais: Adís Abeba
Nombre: GLORIA MORA, Edad: 12, Pais: Adís Abeba
Nombre: DORIS LOBO, Edad: 77, Pais: Adís Abeba
Nombre: ABELARDO BARBOZA, Edad: 85, Pais: Adís Abeba
Nombre: MIGUEL PORTILLA, Edad: 91, Pais: Adís Abeba
Nombre: MIRYAM JIMENEZ, Edad: 60, Pais: Adís Abeba
Nombre: DAMA PIEDRA, Edad: 83, Pais: Adís Abeba
Nombre: RODRIGO MONTOYA, Edad: 87, Pais: Adís Abeba
Nombre: CONSUELO CALDERON, Edad: 90, Pais: Adís Abeba
Nombre: BUENAVENTURA CHACON, Edad: 53, Pais: Adís Abeba
Nombre: OLGA JIMENEZ, Edad: 52, Pais: Adís Abeba
Nombre: ORLANDO MENA, Edad: 50, Pais: Adís Abeba
Nombre: MARIA VIRGINIA LOPEZ, Edad: 42, Pais: Adís Abeba
Nombre: RAUL FONSECA, Edad: 75, Pais: Adís Abeba
Nombre: MARIA IRENE BENAVIDES, Edad: 69, Pais: Adís Abeba
Nombre: ENEDINO MORA, Edad: 49, Pais: Adís Abeba
Nombre: MARIA EUGENIA MONTERO, Edad: 10, Pais: Adís Abeba
Nombre: BOLIVAR RODRIGUEZ, Edad: 76, Pais: Adís Abeba
Nombre: MARIA LINA AZOFEIFA, Edad: 1, Pais: Adís Abeba
Nombre: JORGE CARTIN, Edad: 19, Pais: Adís Abeba
Nombre: MARIA CLEMENCIA MORA, Edad: 98, Pais: Adís Abeba
Nombre: ARNOLDO SANDOVAL, Edad: 54, Pais: Adís Abeba
Nombre: MERCEDES CARRION, Edad: 97, Pais: Afganistán
Nombre: TERESA MORALES, Edad: 20, Pais: Afganistán
Nombre: JOSE RONALD SOTO, Edad: 21, Pais: Afganistán
Nombre: ASTRID ZAMORA, Edad: 2, Pais: Afganistán
Nombre: CARLOS ALBERTO GARRO, Edad: 35, Pais: Afganistán
Nombre: CARLOS MARIA SOLIS, Edad: 86, Pais: Afganistán
Nombre: MANUEL ANTONIO AMADOR, Edad: 31, Pais: Afganistán
Nombre: LUZ MARINA CHINCHILLA, Edad: 38, Pais: Afganistán
Nombre: MARIA DE LOS ANGELES BADILLA, Edad: 58, Pais: Afganistán
Nombre: JORGE ANTONIO RAMIREZ, Edad: 14, Pais: Afganistán
Nombre: ANA ISABEL CHAVES, Edad: 85, Pais: Afganistán
Nombre: LUIS RICARDO NARANJO, Edad: 43, Pais: Afganistán
Nombre: ARNOLDO MENDEZ, Edad: 98, Pais: Afganistán
Nombre: FLOR MARIA MENA, Edad: 58, Pais: Afganistán
Nombre: MARTA ELENA ZUÑIGA, Edad: 2, Pais: Afganistán
Nombre: AMELIA VENEGAS, Edad: 5, Pais: Afganistán
Nombre: MAYRA BRENES, Edad: 44, Pais: Afganistán
Nombre: RODOLFO MENA, Edad: 69, Pais: Afganistán
Nombre: DENIS HUMBERTO UREÑA, Edad: 90, Pais: Afganistán
Nombre: FLORA EMILIA SANCHEZ, Edad: 9, Pais: Afganistán
Nombre: JORGE FALLAS, Edad: 92, Pais: Afganistán
Nombre: EDWIN JIMENEZ, Edad: 16, Pais: Afganistán
Nombre: ELEXIS BORBON, Edad: 56, Pais: Afganistán
Nombre: JUAN MORA, Edad: 10, Pais: Afganistán
Nombre: CARMEN ALPIZAR, Edad: 45, Pais: Afganistán
Nombre: MARIA ELEODORA ELIZONDO, Edad: 5, Pais: Afganistán
Nombre: MARIA OLGA GONZALEZ, Edad: 53, Pais: Afganistán
Nombre: RAFAEL QUIROS, Edad: 91, Pais: Afganistán
Nombre: LILIET RITA SOLANO, Edad: 1, Pais: Afganistán
Nombre: IDALI PAEZ, Edad: 98, Pais: Afganistán
Nombre: ODETTE FERNANDEZ, Edad: 49, Pais: Afganistán
Nombre: NUMIDIA LEON, Edad: 21, Pais: Afganistán
Nombre: ALICIA BARRANTES, Edad: 83, Pais: Afganistán
Nombre: GERMAN MONTERO, Edad: 67, Pais: Afganistán
Nombre: CARLOS ALONSO HERRERA, Edad: 19, Pais: Afganistán
Nombre: ARTURO ARAYA, Edad: 57, Pais: Afganistán
Nombre: DAVID HINE, Edad: 38, Pais: Afganistán
Nombre: FLORA CUBILLO, Edad: 58, Pais: Afganistán
Nombre: FERNANDO SABORIO, Edad: 65, Pais: Afganistán
Nombre: ROBERTO SNOMBALL, Edad: 6, Pais: Afganistán
Nombre: EIDA HERRERA, Edad: 93, Pais: Afganistán
Nombre: JAVIER MONGE, Edad: 77, Pais: Afganistán
Nombre: DINORAH SOLIS, Edad: 46, Pais: Afganistán
Nombre: ELIECER MARIN, Edad: 2, Pais: Afganistán
Nombre: MARIA MIREYA MONGE, Edad: 94, Pais: Afganistán
Nombre: MIGUEL ANGEL CHINCHILLA, Edad: 35, Pais: Afganistán
Nombre: RUPERTO CHINCHILLA, Edad: 51, Pais: Afganistán
Nombre: MARCELLA PADILLA, Edad: 35, Pais: Afganistán
Nombre: ELSA PEREZ, Edad: 27, Pais: Afganistán
