Tiempo: 0.004793

Nombre: MARIA CECILIA SALAS, Edad: 56, Pais: Abu Dabi
Nombre: CARLOS LUIS BARRANTES, Edad: 54, Pais: Antártida
Nombre: JULIO ANTONIO DIAZ, Edad: 93, Pais: Apia
Nombre: ARTURO JIMENEZ, Edad: 54, Pais: Arabia Saudita
Nombre: FEDERICO ALBERTO ARAGON, Edad: 100, Pais: Arabia Saudita
Nombre: CARLOS LUIS CHAVES, Edad: 26, Pais: Archipiélago de Svalbard
Nombre: TITO BLANCO, Edad: 80, Pais: Archipiélago de Svalbard
Nombre: ROGELIO MORALES, Edad: 55, Pais: Argel
Nombre: HORTENSIA NAVARRO, Edad: 3, Pais: Argelia
Nombre: GERARDO FALLAS, Edad: 77, Pais: Armenia
Nombre: ROSA VIRGINIA SANCHEZ, Edad: 99, Pais: Aruba
Nombre: PEGGI ESCALANTE, Edad: 48, Pais: Aruba
Nombre: CATALINA GONZALEZ, Edad: 51, Pais: Asjabad
Nombre: AVELINO PARRA, Edad: 56, Pais: Asjabad
Nombre: EDGAR EDUARDO ALVARADO, Edad: 87, Pais: Asmara
Nombre: HENRY RODRIGUEZ, Edad: 75, Pais: Asmara
Nombre: MARIA ISABEL ROLDAN, Edad: 9, Pais: Astaná
Nombre: MARIA JULIA CESPEDES, Edad: 18, Pais: Astaná
Nombre: MAYRA LEIVA, Edad: 29, Pais: Astaná
Nombre: MARIA ISABEL MENDEZ, Edad: 54, Pais: Asunción
Nombre: LEONEL ALFARO, Edad: 54, Pais: Asunción
Nombre: ANA ISABEL RODRIGUEZ, Edad: 16, Pais: Asunción
Nombre: CERLINDO ARIAS, Edad: 32, Pais: Atenas
Nombre: RAMON WILLIAM ROJAS, Edad: 97, Pais: Atenas
Nombre: MARIA ELENA VINDAS, Edad: 27, Pais: Australia
Nombre: CARLOS LUIS LEITON, Edad: 25, Pais: Australia
Nombre: DANILO SIBAJA, Edad: 97, Pais: Australia
Nombre: AMPARO CHACON, Edad: 5, Pais: Austria
Nombre: MIREYA EUGENIA MURILLO, Edad: 73, Pais: Austria
Nombre: FLOR MARIA RODRIGUEZ, Edad: 7, Pais: Austria
Nombre: VIRGINIA MENA, Edad: 29, Pais: Azerbaiyán
Nombre: JORGE EDUARDO BARQUERO, Edad: 14, Pais: Azerbaiyán
Nombre: CARLOS EDUARDO VALVERDE, Edad: 54, Pais: Azerbaiyán
Nombre: OSCAR AQUILES NAVARRO, Edad: 13, Pais: Azerbaiyán
Nombre: WILLIAM GERARDO SANCHEZ, Edad: 98, Pais: Azerbaiyán
Nombre: MOISES ALVARADO, Edad: 26, Pais: Azerbaiyán
Nombre: JULIETA CHAVES, Edad: 46, Pais: Bagdad
Nombre: SALVADOR MONTANARO, Edad: 89, Pais: Bagdad
Nombre: FLOR MARIA TORRES, Edad: 37, Pais: Bahamas
Nombre: OFELIA MARIN, Edad: 42, Pais: Bahamas
Nombre: MIGUEL FERNANDEZ, Edad: 73, Pais: Bahrein
Nombre: EDUARDO ROBLES, Edad: 41, Pais: Bahrein
Nombre: EDGAR QUIROS, Edad: 64, Pais: Bamako
Nombre: ELVIRA ROJAS, Edad: 66, Pais: Bandar Seri Begawan
Nombre: GERARDINA PICADO, Edad: 100, Pais: Bangkok
Nombre: CARLOS TENORIO, Edad: 42, Pais: Bangkok
Nombre: ZULAY ARAYA, Edad: 60, Pais: Bangladesh
Nombre: ZOILA ROSA OVIEDO, Edad: 65, Pais: Bangladesh
Nombre: LUZMILDA MORA, Edad: 56, Pais: Bangladesh
Nombre: NOE ARIAS, Edad: 49, Pais: Bangladesh
Nombre: ELPIDIO MIGUEL AZOFEIFA, Edad: 14, Pais: Bangui
Nombre: FRANCISCO CORDERO, Edad: 84, Pais: Bangui
Nombre: GLADIS SEGURA, Edad: 27, Pais: Bangui
Nombre: LIBIA EUGENIA SOLIS, Edad: 35, Pais: Bangui
Nombre: ROSA MASIS, Edad: 32, Pais: Barbados
Nombre: JORGE ZUÑIGA, Edad: 73, Pais: Barbados
Nombre: FLOR VIRGINIA RIVERA, Edad: 2, Pais: Barbados
Nombre: CARLOS EDIET FALLAS, Edad: 7, Pais: Barbados
Nombre: VITALINA CAMPOS, Edad: 76, Pais: Basseterre
Nombre: LIGIA CASTRO, Edad: 2, Pais: Basseterre
Nombre: LIDIETTE PICADO, Edad: 76, Pais: Basseterre
Nombre: MARIO ALVAREZ, Edad: 91, Pais: Basseterre
Nombre: RAMON CORRALES, Edad: 100, Pais: Beirut
Nombre: VILMA LEDA ROLDAN, Edad: 91, Pais: Beirut
Nombre: LIDIETTE BARBOZA, Edad: 58, Pais: Beirut
Nombre: VIRGITA ZUÑIGA, Edad: 66, Pais: Beirut
Nombre: MAYRA ROSA CARDENAS, Edad: 20, Pais: Beirut
Nombre: MARCO ANTONIO MARTINEZ, Edad: 61, Pais: Beirut
Nombre: JORGE HERNANDEZ, Edad: 20, Pais: Belgrado
Nombre: ALVARO ENRIQUE PORRAS, Edad: 84, Pais: Belgrado
Nombre: CARMEN MUÑOZ, Edad: 53, Pais: Belice
Nombre: LORENZO SEGURA, Edad: 25, Pais: Belice
Nombre: HERMINIA MADRIGAL, Edad: 38, Pais: Belice
Nombre: GERARDINA MORA, Edad: 94, Pais: Belice
Nombre: DELIO MORA, Edad: 9, Pais: Belmopán
Nombre: CARMEN RAMIREZ, Edad: 68, Pais: Belmopán
Nombre: FRANCIA HIDALGO, Edad: 76, Pais: Benín
Nombre: NURIA CAMPOS, Edad: 1, Pais: Benín
Nombre: GONZALO BADILLA, Edad: 82, Pais: Benín
Nombre: ANA LIA FALLAS, Edad: 89, Pais: Berlín
Nombre: LOURDES MARIN, Edad: 9, Pais: Berlín
Nombre: RAMONA LEON, Edad: 55, Pais: Bermudas
Nombre: RAFAEL ANGEL CHACON, Edad: 41, Pais: Berna
Nombre: VICTOR CASTRO, Edad: 57, Pais: Bielorrusia
Nombre: ANA CECILIA SANCHEZ, Edad: 70, Pais: Bielorrusia
Nombre: ROSA IVETTE MORA, Edad: 67, Pais: Birmania
Nombre: RITA FAITH, Edad: 41, Pais: Biskek
Nombre: BLANCA MESEN, Edad: 51, Pais: Biskek
Nombre: GERARDO ANTONIO SABORIO, Edad: 51, Pais: Biskek
Nombre: GUILLERMO ALBERTO BADILLA, Edad: 25, Pais: Biskek
Nombre: AMPARO SOLANO, Edad: 30, Pais: Bisáu
Nombre: MIRIAM SOLANO, Edad: 9, Pais: Bisáu
Nombre: MANUEL SOLANO, Edad: 96, Pais: Bogotá
Nombre: ELIECER PRADO, Edad: 11, Pais: Bolivia
Nombre: CARLOS GUZMAN, Edad: 96, Pais: Bolivia
Nombre: MANUEL VICENTE CASCANTE, Edad: 43, Pais: Bolivia
Nombre: LUIS FRANCISCO ARROYO, Edad: 17, Pais: Bosnia-Herzegovina
Nombre: IRIS SALAZAR, Edad: 17, Pais: Botswana
Nombre: FLOR DE MARIA OTAROLA, Edad: 73, Pais: Brasil
Nombre: MARIO JAIRO MORA, Edad: 28, Pais: Brasil
Nombre: MIGUEL ANGEL CHACON, Edad: 3, Pais: Brasil
Nombre: HILDA MARIA VARGAS, Edad: 52, Pais: Brasil
Nombre: ANA VIRGINIA CARTIN, Edad: 96, Pais: Brasil
Nombre: OLMAN GERARDO RAMIREZ, Edad: 65, Pais: Brasil
Nombre: ANA CECILIA MESEN, Edad: 53, Pais: Brasilia
Nombre: MARCO AURELIO FERNANDEZ, Edad: 91, Pais: Brasilia
Nombre: MISAEL UREÑA, Edad: 83, Pais: Brasilia
Nombre: MYRIAM PANA, Edad: 67, Pais: Bratislava
Nombre: CARLOS ARTURO MASIS, Edad: 17, Pais: Brazzaville
Nombre: MARIA DE LOS ANGELES RAMIREZ, Edad: 8, Pais: Brazzaville
Nombre: EDUVIGES OROZCO, Edad: 94, Pais: Bridgetown
Nombre: MARGARITA VIRGINIA RODRIGUEZ, Edad: 87, Pais: Bridgetown
Nombre: EIDA DEL CARMEN ALVARADO, Edad: 63, Pais: Bridgetown
Nombre: OLGA CASTRO, Edad: 59, Pais: Bridgetown
Nombre: JORGE FERNANDO SOTO, Edad: 76, Pais: Brunei Darussalam
Nombre: JOSE ANGEL CAMACHO, Edad: 47, Pais: Bruselas
Nombre: MIREYA VALVERDE, Edad: 37, Pais: Bruselas
Nombre: SARAY SALAZAR, Edad: 44, Pais: Bruselas
Nombre: BERNAL GARCIA, Edad: 19, Pais: Bruselas
Nombre: SIGIBERTO ARIAS, Edad: 38, Pais: Budapest
Nombre: JOSE ORLANDO ANGULO, Edad: 22, Pais: Budapest
Nombre: MIRIAM GUEVARA, Edad: 57, Pais: Budapest
Nombre: MARGARITA MORA, Edad: 56, Pais: Budapest
Nombre: GERARDO QUIROS, Edad: 97, Pais: Budapest
Nombre: EIDA VASQUEZ, Edad: 51, Pais: Buenos Aires
Nombre: MARIA CECILIA HERNANDEZ, Edad: 24, Pais: Buenos Aires
Nombre: JOSE GUILLERMO GONZALEZ, Edad: 14, Pais: Burkina Faso
Nombre: ADA MARIA NAVARRO, Edad: 40, Pais: Burundi
Nombre: LUZ MARINA SANCHEZ, Edad: 5, Pais: Burundi
Nombre: VICTOR EDUARDO RAMIREZ, Edad: 14, Pais: Bután
Nombre: MARIA SANCHEZ, Edad: 93, Pais: Bélgica
Nombre: BETTY MIRANDA, Edad: 22, Pais: Bélgica
Nombre: HILDA RODRIGUEZ, Edad: 38, Pais: Bélgica
Nombre: LUIS ENRIQUE CORDERO, Edad: 26, Pais: Cabo Verde
Nombre: WENCESLAO MONTERO, Edad: 32, Pais: Cabo Verde
Nombre: VICTOR MANUEL SIMON, Edad: 85, Pais: Camboya
Nombre: ALVARO GODINEZ, Edad: 25, Pais: Camerún
Nombre: RAFAEL HIDALGO, Edad: 86, Pais: Camerún
Nombre: MARIA LUCIA RODRIGUEZ, Edad: 46, Pais: Camerún
Nombre: JOSE LUIS OVIEDO, Edad: 38, Pais: Camerún
Nombre: GERARDO JOSE VALERIO, Edad: 3, Pais: Camerún
Nombre: VICTORINO ARAYA, Edad: 95, Pais: Canadá
Nombre: MANUEL MORA, Edad: 99, Pais: Canberra
Nombre: ANABEL ARTAVIA, Edad: 18, Pais: Canberra
Nombre: SOCORRO CERDAS, Edad: 32, Pais: Canberra
Nombre: LUIS RODRIGO CALDERON, Edad: 21, Pais: Canberra
Nombre: WALTER LEON, Edad: 1, Pais: Castries
Nombre: ZOILA ROSA ELIZONDO, Edad: 20, Pais: Castries
Nombre: BLANCA IRIS JIMENEZ, Edad: 90, Pais: Castries
Nombre: THAIS UGALDE, Edad: 1, Pais: Chad
Nombre: GRACE BRENES, Edad: 15, Pais: Chad
Nombre: LUZ MARINA ALVARADO, Edad: 45, Pais: Chile
Nombre: LEONIDAS SIBAJA, Edad: 42, Pais: Chile
Nombre: MIGUEL ANGEL ABARCA, Edad: 4, Pais: China
Nombre: MAURO EDUARDO MOLINA, Edad: 52, Pais: Chipre
Nombre: WILFRIDO ELIZONDO, Edad: 64, Pais: Chipre
Nombre: ILEANA CASTRO, Edad: 70, Pais: Chipre
Nombre: MYRA DEL CARMEN RODRIGUEZ, Edad: 56, Pais: Chisináu
Nombre: JOSE ENRIQUE VARELA, Edad: 90, Pais: Chisináu
Nombre: SONIA MARIA CARTIN, Edad: 70, Pais: Chisináu
Nombre: MARIA DE LOS ANGELES QUIROS, Edad: 88, Pais: Ciudad del Vaticano
Nombre: JOSE HIDALGO, Edad: 49, Pais: Ciudad del Vaticano
Nombre: JORGE EDUARDO JIMENEZ, Edad: 54, Pais: Ciudad del Vaticano
Nombre: NORMA MARIA PICADO, Edad: 14, Pais: Ciudad del Vaticano
Nombre: NURYA VARGAS, Edad: 31, Pais: Ciudad del Vaticano
Nombre: ANA CECILIA RODRIGUEZ, Edad: 65, Pais: Ciudad del Vaticano
Nombre: MARIANO SOTO, Edad: 21, Pais: Colombia
Nombre: MARIA EUGENIA CORDERO, Edad: 80, Pais: Colombia
Nombre: MARIA PAULINA MONTERO, Edad: 21, Pais: Comores
Nombre: MARIA JOSEFINA VALVERDE, Edad: 43, Pais: Conakri
Nombre: ISABEL SOLANO, Edad: 44, Pais: Conakri
Nombre: JOSE ROBERTO FALLAS, Edad: 90, Pais: Conakri
Nombre: ODILI MONTOYA, Edad: 80, Pais: Copenhague
Nombre: ADAN GOMEZ, Edad: 28, Pais: Corea del Norte
Nombre: DAISY PRADO, Edad: 98, Pais: Corea del Norte
Nombre: JORGE EMILIO LOOSER, Edad: 37, Pais: Corea del Norte
Nombre: VILMA GODINEZ, Edad: 19, Pais: Corea del Norte
Nombre: ENRIQUE VILLALOBOS, Edad: 91, Pais: Corea del Sur
Nombre: LILIA MONTEALEGRE, Edad: 43, Pais: Corea del Sur
Nombre: ANA CORDERO, Edad: 40, Pais: Corea del Sur
Nombre: HECTOR SANCHEZ, Edad: 7, Pais: Corea del Sur
Nombre: MARTA EUGENIA DE LA FUENTE, Edad: 69, Pais: Costa de Marfil
Nombre: FERNANDO VARGAS, Edad: 40, Pais: Costa de Marfil
Nombre: GUIDO JOAQUIN MOYA, Edad: 7, Pais: Croacia
Nombre: ABEL JOAQUIN HERNANDEZ, Edad: 51, Pais: Croacia
Nombre: ANA ISABEL CALDERA, Edad: 55, Pais: Croacia
Nombre: EUCLIDES VARGAS, Edad: 27, Pais: Cuba
Nombre: ELIECER MORA, Edad: 78, Pais: Daca
Nombre: CLAUDIA ARIAS, Edad: 91, Pais: Daca
Nombre: CARLOS MORA, Edad: 50, Pais: Dakar
Nombre: PAULINA ALVAREZ, Edad: 37, Pais: Dakar
Nombre: VIRGINIA VARGAS, Edad: 15, Pais: Dakar
Nombre: HORACIO ESQUIVEL, Edad: 37, Pais: Damasco
Nombre: FLORIBETH RIVERA, Edad: 8, Pais: Dinamarca
Nombre: MARGARITA GAMBOA, Edad: 96, Pais: Djibouti
Nombre: REINALDO BLANCO, Edad: 95, Pais: Doha
Nombre: ROGELIO VALVERDE, Edad: 84, Pais: Dominica
Nombre: ADONAY PERAZA, Edad: 36, Pais: Dominica
Nombre: LETICIA FALLAS, Edad: 82, Pais: Dublín
Nombre: VICTOR GABRIEL MORA, Edad: 20, Pais: Dusambé
Nombre: GERARDO MANUEL FERNANDEZ, Edad: 4, Pais: Dusambé
Nombre: JUSTA MARTA VAUGHAN, Edad: 85, Pais: Ecuador
Nombre: JAVIER GERARDO BARBOZA, Edad: 9, Pais: Egipto
Nombre: CARLOS GERARDO AGUERO, Edad: 66, Pais: El Cairo
Nombre: GUILLERMO MONGE, Edad: 90, Pais: El Cairo
Nombre: LEONOR GAMBASSI, Edad: 10, Pais: El Cairo
Nombre: EULALIA OBANDO, Edad: 85, Pais: El Cairo
Nombre: HILDA MOLINA, Edad: 40, Pais: El Salvador
Nombre: OLMAN MORA, Edad: 27, Pais: Emiratos Árabes Unidos
Nombre: ANA CECILIA JIMENEZ, Edad: 77, Pais: Emiratos Árabes Unidos
Nombre: FLOR MARIA SOLANO, Edad: 52, Pais: Ereván
Nombre: ENRIQUE RODRIGO ROJAS, Edad: 49, Pais: Ereván
Nombre: GONZALO GARITA, Edad: 52, Pais: Eslovaquia
Nombre: GERARDO SANABRIA, Edad: 44, Pais: Eslovaquia
Nombre: ELIDA CHAVES, Edad: 88, Pais: Eslovenia
Nombre: OLGA MARTA HERRERA, Edad: 90, Pais: Eslovenia
Nombre: MISAEL ALVARADO, Edad: 15, Pais: Eslovenia
Nombre: RODOLFO QUIROS, Edad: 45, Pais: España
Nombre: IDALIE DURAN, Edad: 89, Pais: España
Nombre: LILLIANA EUGENIA SALAS, Edad: 61, Pais: España
Nombre: MARCO VINICIO UMAÑA, Edad: 3, Pais: España
Nombre: FLOR CARMEN MADRIGAL, Edad: 94, Pais: España
Nombre: JEANNETTE QUIROS, Edad: 43, Pais: España
Nombre: ELIZABETH RODRIGUEZ, Edad: 21, Pais: Estocolmo
Nombre: SOCORRO CERDAS, Edad: 52, Pais: Estonia
Nombre: MANUEL CHAVARRIA, Edad: 65, Pais: Estonia
Nombre: ALBERTINA SEGURA, Edad: 53, Pais: Etiopía
Nombre: CARLOS LUIS QUESADA, Edad: 90, Pais: Etiopía
Nombre: ANA CECILIA AGUILAR, Edad: 84, Pais: Etiopía
Nombre: DELFIN MURILLO, Edad: 81, Pais: Etiopía
Nombre: LIGIA VILLAR, Edad: 32, Pais: Federación Rusa
Nombre: DAGOBERTO PERAZA, Edad: 13, Pais: Federación Rusa
Nombre: JOSE ARAYA, Edad: 82, Pais: Federación Rusa
Nombre: ELIZABETH JIMENEZ, Edad: 39, Pais: Fidji
Nombre: CARLOS ANTONIO ABARCA, Edad: 67, Pais: Fidji
Nombre: GLORIA TRINIDAD CASCANTE, Edad: 51, Pais: Fidji
Nombre: DEYANIRA ALPIZAR, Edad: 100, Pais: Fidji
Nombre: EDGAR ABELARDO SANCHEZ, Edad: 57, Pais: Filipinas
Nombre: JUAN MURILLO, Edad: 96, Pais: Filipinas
Nombre: VENANCIO ROJAS, Edad: 86, Pais: Filipinas
Nombre: OLGER GERARDO AGUERO, Edad: 60, Pais: Filipinas
Nombre: JOSE MIGUEL FONSECA, Edad: 97, Pais: Finlandia
Nombre: MARIA CRISTINA FALLAS, Edad: 99, Pais: Francia
Nombre: ROBERTO ANTONIO ROJAS, Edad: 74, Pais: Francia
Nombre: HUGO ANDRES BONILLA, Edad: 69, Pais: Francia
Nombre: MARGARITA MONTERO, Edad: 13, Pais: Freetown
Nombre: CARMEN FALLAS, Edad: 73, Pais: Freetown
Nombre: NELLY CASTILLO, Edad: 19, Pais: Funafuti
Nombre: ANGELICA MOREIRA, Edad: 68, Pais: Funafuti
Nombre: JEANETTE FALLAS, Edad: 93, Pais: Gaborone
Nombre: ANA CECILIA VARGAS, Edad: 25, Pais: Gaborone
Nombre: ANA ISABEL MONTERO, Edad: 49, Pais: Gaborone
Nombre: RAMON MONTES, Edad: 66, Pais: Gabón
Nombre: SILVIA SANDRA ZEPEDA, Edad: 71, Pais: Gabón
Nombre: VILMA VALVERDE, Edad: 79, Pais: Gabón
Nombre: BIENVENIDO ROJAS, Edad: 100, Pais: Gabón
Nombre: FRANKLIN ANTONIO CUBERO, Edad: 52, Pais: Gabón
Nombre: ELSA SALAS, Edad: 47, Pais: Gambia
Nombre: ELIZABETH PANIAGUA, Edad: 65, Pais: Gambia
Nombre: IRENE BARBOZA, Edad: 12, Pais: Gambia
Nombre: FERNANDO SANCHEZ, Edad: 38, Pais: Gambia
Nombre: ANA CELIA SOLIS, Edad: 6, Pais: Georgetown
Nombre: ELIZABETH PALMA, Edad: 67, Pais: Georgetown
Nombre: RICARDO QUIROS, Edad: 63, Pais: Georgetown
Nombre: NOEMI JIMENEZ, Edad: 69, Pais: Georgia
Nombre: ELIZABETH MORALES, Edad: 59, Pais: Georgia
Nombre: NORMA AGUERO, Edad: 43, Pais: Ghana
Nombre: CARLOS HUMBERTO SEVILLA, Edad: 94, Pais: Gibraltar
Nombre: ZAIDA MARIA ARGUEDAS, Edad: 39, Pais: Gibraltar
Nombre: JOSE ALBERTO CERDAS, Edad: 86, Pais: Gibraltar
Nombre: NURY CHAVES, Edad: 21, Pais: Gran Bretaña
Nombre: RAFAEL ANGEL MADRIGAL, Edad: 32, Pais: Gran Bretaña
Nombre: MARCOS CORRALES, Edad: 90, Pais: Gran Bretaña
Nombre: LILIA MONTEALEGRE, Edad: 45, Pais: Grecia
Nombre: TRINIDAD ANTONIO PICADO, Edad: 19, Pais: Grecia
Nombre: MARIA ELENA CALVO, Edad: 26, Pais: Grecia
Nombre: LUZ MARINA CORDERO, Edad: 91, Pais: Grecia
Nombre: ENRIQUE BERROCAL, Edad: 29, Pais: Grecia
Nombre: MARINA MONGE, Edad: 2, Pais: Grecia
Nombre: JULIETA MARIA ALFARO, Edad: 61, Pais: Groenlandia
Nombre: SONIA GOMEZ, Edad: 8, Pais: Guadalupe
Nombre: JOSE MANUEL SANCHEZ, Edad: 54, Pais: Guadalupe
Nombre: EDWIN EDUARDO SEGURA, Edad: 66, Pais: Guam
Nombre: RUTH YAMILET VINDAS, Edad: 62, Pais: Guam
Nombre: VICTOR MANUEL AGUILAR, Edad: 70, Pais: Guatemala
Nombre: GERARDO SOLIS, Edad: 79, Pais: Guatemala
Nombre: ANA CILIA DIAZ, Edad: 20, Pais: Guatemala
Nombre: FLORY ROJAS, Edad: 82, Pais: Guatemala
Nombre: FLOR DE MARIA VENEGAS, Edad: 32, Pais: Guatemala
Nombre: MARIA CRISTINA LEON, Edad: 48, Pais: Guatemala
Nombre: LIBRADO DIAZ, Edad: 42, Pais: Guatemala
Nombre: FLOR DE MARIA VALVERDE, Edad: 74, Pais: Guayana Francesa
Nombre: DIEGO SANDI, Edad: 34, Pais: Guernsey
Nombre: ALICIA MENDEZ, Edad: 68, Pais: Guernsey
Nombre: EMILCE MURILLO, Edad: 79, Pais: Guernsey
Nombre: OSCAR ALBERTO TORRES, Edad: 29, Pais: Guernsey
Nombre: DUBILIA MORENO, Edad: 75, Pais: Guinea Bissau
Nombre: RAQUEL MENA, Edad: 62, Pais: Guinea Bissau
Nombre: URIEL FALLAS, Edad: 77, Pais: Guinea Bissau
Nombre: MARIA TERESA MENA, Edad: 81, Pais: Guinea Bissau
Nombre: ELIZABETH SALAZAR, Edad: 49, Pais: Guinea Ecuatorial
Nombre: MARIA ELENA VILLALTA, Edad: 52, Pais: Guinea Ecuatorial
Nombre: ELENA MARGARITA QUIROS, Edad: 31, Pais: Guinea Ecuatorial
Nombre: CARMEN CESPEDES, Edad: 71, Pais: Guinea Ecuatorial
Nombre: ALICIA LILIETH ABARCA, Edad: 40, Pais: Guinea Ecuatorial
Nombre: MARIA AUXILIO MASIS, Edad: 97, Pais: Guyana
Nombre: JOSE UMAÑA, Edad: 85, Pais: Guyana
Nombre: CARLOS RODOLFO SANCHEZ, Edad: 39, Pais: Guyana
Nombre: MARIA ELBA MORA, Edad: 62, Pais: Haiti
Nombre: MIGUEL HIDALGO, Edad: 46, Pais: Hanói
Nombre: MARIA CECILIA FALLAS, Edad: 99, Pais: Hanói
Nombre: HERBERTH ENRIQUE MARTINEZ, Edad: 91, Pais: Harare
Nombre: ALVARO GAMBOA, Edad: 14, Pais: Helsinki
Nombre: ELIET MELENDEZ, Edad: 32, Pais: Helsinki
Nombre: JOSE ANTONIO DURAN, Edad: 27, Pais: Honduras
Nombre: MARIA VITALINA SERRANO, Edad: 82, Pais: Hong Kong
Nombre: FRANCISCA DELGADO, Edad: 42, Pais: Hong Kong
Nombre: ANA LIA VALVERDE, Edad: 87, Pais: Hong Kong
Nombre: MARIA ANGELA BERMUDEZ, Edad: 63, Pais: Honiara
Nombre: LIDILIA SANCHEZ, Edad: 7, Pais: Honiara
Nombre: MARIA DE LOS ANGELES GUARDIA, Edad: 19, Pais: Honiara
Nombre: SAMUEL CORRALES, Edad: 74, Pais: India
Nombre: MARIA RAFAELA FALLAS, Edad: 21, Pais: India
Nombre: GERARDINA MONGE, Edad: 48, Pais: India
Nombre: FLOR MARIA BARRANTES, Edad: 29, Pais: Indonesia
Nombre: SONIA SEGURA, Edad: 55, Pais: Indonesia
Nombre: LUIS PAULINO OBANDO, Edad: 59, Pais: Indonesia
Nombre: GERARDO HERNANDEZ, Edad: 53, Pais: Indonesia
Nombre: IRENE MARIA MENDEZ, Edad: 18, Pais: Iraq
Nombre: RAFAEL ANGEL ALFARO, Edad: 28, Pais: Iraq
Nombre: ANA CECILIA PRADA, Edad: 6, Pais: Irlanda
Nombre: WALTER FERNANDO ROMERO, Edad: 82, Pais: Irán
Nombre: ELIZABETH RAMIREZ, Edad: 93, Pais: Isla Ascension
Nombre: VICTOR JULIO VIQUEZ, Edad: 38, Pais: Isla Bouvet
Nombre: REGINA MARIA CHAVES, Edad: 80, Pais: Isla Bouvet
Nombre: MARIO JESUS GONZALEZ, Edad: 6, Pais: Isla Bouvet
Nombre: CARLOS BLANCO, Edad: 88, Pais: Isla Bouvet
Nombre: JOSE LUIS ACOSTA, Edad: 68, Pais: Isla Christmas
Nombre: ROSA MARIA MUSSIO, Edad: 75, Pais: Isla Christmas
Nombre: AMALIA MACAYA, Edad: 90, Pais: Isla De Navidad
Nombre: GRACE GARBANZO, Edad: 33, Pais: Isla De Navidad
Nombre: RAFAEL ANGEL ABARCA, Edad: 94, Pais: Isla Jan Mayen
Nombre: CAYETANO BOSCO MADRIZ, Edad: 6, Pais: Isla Jan Mayen
Nombre: EVELIO AGUERO, Edad: 100, Pais: Isla Jan Mayen
Nombre: GRACE MASIS, Edad: 56, Pais: Isla Jan Mayen
Nombre: VIRGINIA MONTANARO, Edad: 18, Pais: Isla Man
Nombre: MARTA ODILIA UMAÑA, Edad: 20, Pais: Islandia
Nombre: GERMAN ABARCA, Edad: 97, Pais: Islandia
Nombre: MARITZA GONZALEZ, Edad: 25, Pais: Islandia
Nombre: CARLOS BARBOZA, Edad: 51, Pais: Islandia
Nombre: OMAR ALEXANDER SOLANO, Edad: 31, Pais: Islas Caimán
Nombre: ABRAHAM FERNANDEZ, Edad: 16, Pais: Islas Caimán
Nombre: VICTOR MANUEL ZUÑIGA, Edad: 37, Pais: Islas Cocos
Nombre: FLOR MARIA FLORES, Edad: 32, Pais: Islas Cocos
Nombre: GERARDO ENRIQUE ALVAREZ, Edad: 100, Pais: Islas Cocos
Nombre: NORA CECILIA FLORES, Edad: 84, Pais: Islas Cocos
Nombre: MARIA DE LOS ANGELES VALERIO, Edad: 41, Pais: Islas Cook
