Nombre: RODOLFO RODRIGO ARAYA, Edad: 1, Pais: Sudáfrica
Nombre: LUZ MARINA PEREZ, Edad: 1, Pais: República Centroafricana
Nombre: MARIA DEL CARMEN MORA, Edad: 1, Pais: Antananarivo
Nombre: ELEODORA PICADO, Edad: 1, Pais: Skopie
Nombre: HORTENSIA PEREZ, Edad: 1, Pais: Angola
Nombre: ALICE NARANJO, Edad: 1, Pais: Bangladesh
Nombre: MARIA CRISTINA LEON, Edad: 1, Pais: Bogotá
Nombre: LUZ LEIVA, Edad: 1, Pais: Riga
Nombre: MIRYAM JIMENEZ, Edad: 1, Pais: Palikir
Nombre: RITA UREÑA, Edad: 1, Pais: Adís Abeba
Nombre: ALICIA CHACON, Edad: 1, Pais: Tadjikistan
Nombre: EMILIO RIVERA, Edad: 1, Pais: Santo Domingo
Nombre: MARIA TERESA BERMUDEZ, Edad: 1, Pais: Guayana Francesa
Nombre: RODOLFO ALBERTO ROMERO, Edad: 1, Pais: Podgorica
Nombre: MARIA CECILIA RODRIGUEZ, Edad: 1, Pais: San Marino
Nombre: LIGIA MARIA UMAÑA, Edad: 1, Pais: Djibouti
Nombre: CATALINA ESPERANZA MENA, Edad: 1, Pais: Palau
Nombre: LUISA PICADO, Edad: 1, Pais: San Tomé y Príncipe
Nombre: JOSE NESTOR ZAMORA, Edad: 1, Pais: Maseru
Nombre: EVELIA MORALES, Edad: 1, Pais: Vaduz
Nombre: OBDULIA HERRERA, Edad: 1, Pais: Naipyidó
Nombre: MARIA DEL CARMEN ROJAS, Edad: 1, Pais: Astaná
Nombre: ZOILA ROSA OBANDO, Edad: 1, Pais: España
Nombre: MARGARITA MONTERO, Edad: 1, Pais: Berlín
Nombre: MIGUEL ANGEL CAMPOS, Edad: 1, Pais: Niger
Nombre: CLAUDIO AVILA, Edad: 1, Pais: Mascate
Nombre: GILMA BORGE, Edad: 1, Pais: Islas Virgenes Británicas
Nombre: CARMEN RETANA, Edad: 1, Pais: Antillas Holandesas
Nombre: EFRAIM SOLIS, Edad: 1, Pais: San Marino
Nombre: MARIA TERESA GONZALEZ, Edad: 1, Pais: Luxemburgo
Nombre: GONZALO GUZMAN, Edad: 1, Pais: Luanda
Nombre: SOCORRO RODRIGUEZ, Edad: 1, Pais: Santa Lucía
Nombre: GLORIA MARIA CHAVES, Edad: 1, Pais: Minsk
Nombre: VICTOR ALFARO, Edad: 1, Pais: México
Nombre: ARNOLDO HERRERA, Edad: 1, Pais: Kinsasa
Nombre: LIGIA MORA, Edad: 1, Pais: Georgia
Nombre: ADITA BERMUDEZ, Edad: 1, Pais: Jerusalén Este
Nombre: BENJAMIN QUIROS, Edad: 1, Pais: Yakarta
Nombre: MARIA CAROLINA ALPIZAR, Edad: 1, Pais: Laos
Nombre: RICARDO RAMIREZ, Edad: 1, Pais: Tarawa
Nombre: FLOR MARIA MORA, Edad: 1, Pais: Abuya
Nombre: CARMEN ARIAS, Edad: 1, Pais: Turquía
Nombre: OTILIA SEGURA, Edad: 1, Pais: Angola
Nombre: MARIA PRECIOSA CASTRO, Edad: 1, Pais: Luanda
Nombre: HUGOLINA NUÑEZ, Edad: 1, Pais: Costa de Marfil
Nombre: EVELIA AGUERO, Edad: 1, Pais: Gran Bretaña
Nombre: CLAUDIO RETANA, Edad: 1, Pais: Bagdad
Nombre: ANGELA CESPEDES, Edad: 1, Pais: Países Bajos
Nombre: JUDITH BARRANTES, Edad: 1, Pais: Lomé
Nombre: LOURDES ALVARADO, Edad: 1, Pais: Palau
Nombre: ARACELLY SALAZAR, Edad: 1, Pais: España
Nombre: EDWIN PEREIRA, Edad: 1, Pais: Ciudad del Vaticano
Nombre: MANUEL LUIS GOMEZ, Edad: 1, Pais: Montserrat
Nombre: DAISY TORRES, Edad: 1, Pais: Islandia
Nombre: OFELIA SALAZAR, Edad: 1, Pais: Guinea Ecuatorial
Nombre: FABIO DELFIN BADILLA, Edad: 1, Pais: Guatemala
Nombre: ANTONIO SEGURA, Edad: 1, Pais: Sofía
Nombre: ORFILIA VALVERDE, Edad: 1, Pais: Praia
Nombre: LUIS PAULINO ROJAS, Edad: 1, Pais: Eslovaquia
Nombre: BENILDA VEGA, Edad: 1, Pais: Guernsey
Nombre: OMAR FALLAS, Edad: 1, Pais: Gabón
Nombre: MARIO MESEN, Edad: 1, Pais: San José
Nombre: CARLOS LUIS AGUERO, Edad: 1, Pais: Samoa
Nombre: JUAN RAMON ALVARADO, Edad: 1, Pais: Haiti
Nombre: LETICIA MADRIGAL, Edad: 1, Pais: Jerusalén Este
Nombre: MERIN RODRIGUEZ, Edad: 1, Pais: Tíbet
Nombre: VERONICA AURORA SANCHEZ, Edad: 1, Pais: Hungría
Nombre: VIRGINIA MENA, Edad: 1, Pais: Kingstown
Nombre: RAFAEL ANGEL BARRIENTOS, Edad: 1, Pais: Bélgica
Nombre: LUIS FERNANDEZ, Edad: 1, Pais: Cuba
Nombre: ILUMINADA PRADO, Edad: 1, Pais: Sudán
Nombre: EDGAR ROLDAN, Edad: 1, Pais: Nueva Zelanda
Nombre: ISIDORO CHACON, Edad: 1, Pais: Niamey
Nombre: LUISA IRIS ZUÑIGA, Edad: 1, Pais: Beirut
Nombre: MARIA TERESA BARRANTES, Edad: 1, Pais: Banjul
Nombre: DINORAH MELENDEZ, Edad: 1, Pais: Yakarta
Nombre: HERNAN COLLADO, Edad: 1, Pais: Bélgica
Nombre: ALICIA CHACON, Edad: 1, Pais: Palestina
Nombre: MARIA GLADYS FONSECA, Edad: 1, Pais: Eslovenia
Nombre: MARIA DIAZ, Edad: 1, Pais: Somalia
Nombre: HORTENSIA SALAZAR, Edad: 1, Pais: Comores
Nombre: ISRAEL ANGULO, Edad: 1, Pais: Emiratos Árabes Unidos
Nombre: GRACE ESQUIVEL, Edad: 1, Pais: Quito
Nombre: MANUEL SOLIS, Edad: 1, Pais: Nueva Zelanda
Nombre: LUZ FERNANDEZ, Edad: 1, Pais: Guadalupe
Nombre: ALBERTINA MORA, Edad: 1, Pais: Kazajstán
Nombre: AURISTELA QUIROS, Edad: 1, Pais: Gibraltar
Nombre: MARIA PAULA PANIAGUA, Edad: 1, Pais: Territorio Británico del Océano Indico
Nombre: ELIECER BARQUERO, Edad: 1, Pais: Birmania
Nombre: BLANCA ROSA CALVO, Edad: 1, Pais: República Guinea
Nombre: JUAN JIMENEZ, Edad: 1, Pais: Montserrat
Nombre: OFELIA MENDEZ, Edad: 1, Pais: Papúa-Nueva Guinea
Nombre: ELVIRA RETANA, Edad: 1, Pais: Rusia
Nombre: MARIA BRENES, Edad: 1, Pais: Buyumbura
Nombre: YOLANDA CASTRO, Edad: 1, Pais: Burkina Faso
Nombre: BENEDICTO RODRIGUEZ, Edad: 1, Pais: Tokio
Nombre: AURORA MORA, Edad: 1, Pais: Brasil
Nombre: TRINIDAD ARIAS, Edad: 1, Pais: Reunión
Nombre: GREGORIO ARIAS, Edad: 1, Pais: Vaticano
Nombre: BLANCA MORA, Edad: 1, Pais: Reikiavik
Nombre: OLGA MONGE, Edad: 1, Pais: Federación Rusa
Nombre: BERTILIA GUILLEN, Edad: 1, Pais: Melekeok
Nombre: ANA MARIA JIMENEZ, Edad: 1, Pais: San Pedro y Miquelón
Nombre: GRAUDINA MARIA CAMPOS, Edad: 1, Pais: Granada
Nombre: EMILIA FERNANDEZ, Edad: 1, Pais: Lilongüe
Nombre: MARIA SALAS, Edad: 1, Pais: Managua
Nombre: RODOLFO RODRIGO ARAYA, Edad: 1, Pais: Sudáfrica
Nombre: NEFTALI MORA, Edad: 1, Pais: Kampala
Nombre: MODESTA VEGA, Edad: 1, Pais: Ecuador
Nombre: MARIA ELENA HERRERA, Edad: 1, Pais: Granada
Nombre: OSCAR CHANTO, Edad: 1, Pais: Canberra
Nombre: DALILA SANDINO, Edad: 1, Pais: Turquía
Nombre: MARIANO NATALIO DURAN, Edad: 1, Pais: Australia
Nombre: SILVINIA SOCORRO BADILLA, Edad: 1, Pais: Quito
Nombre: MIGUEL ARAYA, Edad: 1, Pais: Nigeria
Nombre: TERESA ACUÑA, Edad: 1, Pais: Pekín
Nombre: BLANCA DORA DELGADO, Edad: 1, Pais: Freetown
Nombre: VICTOR MANUEL BARRIENTOS, Edad: 1, Pais: Uagadugú
Nombre: JORGE LUIS SABORIO, Edad: 1, Pais: Islas Cocos
Nombre: JOSE MANUEL LOPEZ, Edad: 1, Pais: Taskent
Nombre: VIRGINIA MORA, Edad: 1, Pais: Kampala
Nombre: MARIA DE LOS ANGELES GUERRERO, Edad: 1, Pais: Yakarta
Nombre: NELLY VARGAS, Edad: 1, Pais: Vientián
Nombre: CARLOS LUIS FALLAS, Edad: 1, Pais: Teherán
Nombre: ALVARO QUESADA, Edad: 1, Pais: Praia
Nombre: MARIA ISABEL GRANADOS, Edad: 1, Pais: Yamena
Nombre: CARMEN MORA, Edad: 1, Pais: Madrid
Nombre: EDGAR QUIROS, Edad: 1, Pais: Angola
Nombre: JOSE FRANCISCO MONTERO, Edad: 1, Pais: Islas Turcas y Caicos
Nombre: CARMEN MARIA LUJAN, Edad: 1, Pais: Puerto España
Nombre: JOSE MESEN, Edad: 1, Pais: Vaduz
Nombre: GLORIA CHAVARRIA, Edad: 1, Pais: El Salvador
Nombre: VICTORIA CESPEDES, Edad: 1, Pais: Gaborone
Nombre: GRACE RODRIGUEZ, Edad: 1, Pais: Timor Oriental
Nombre: JOSE MARIA RODRIGUEZ, Edad: 1, Pais: Maldivas
Nombre: EMPERATRIZ SALAZAR, Edad: 1, Pais: Niue
Nombre: RONULFO ABARCA, Edad: 1, Pais: Praga
Nombre: JORGE MENA, Edad: 1, Pais: El Salvador
Nombre: LILIAM BRENES, Edad: 1, Pais: Tirana
Nombre: SANTIAGO MADRIGAL, Edad: 1, Pais: Bermudas
Nombre: CARLOS LUIS GARRO, Edad: 1, Pais: Tallin
Nombre: ALBA CASTRO, Edad: 1, Pais: Rabat
Nombre: ADALBERTO BARBOZA, Edad: 1, Pais: Dodoma
Nombre: MIGUEL ALFREDO VASQUEZ, Edad: 1, Pais: Isla Ascension
Nombre: ELBA CORRALES, Edad: 1, Pais: Asmara
Nombre: ANA CECILIA LOBO, Edad: 1, Pais: Tegucigalpa
Nombre: JOSE LUIS HERNANDEZ, Edad: 1, Pais: Azerbaiyán
Nombre: GUILLERMO BADILLA, Edad: 1, Pais: Panamá
Nombre: RODOLFO MOLINA, Edad: 1, Pais: Taipéi
Nombre: IRIS SANDOVAL, Edad: 1, Pais: Polinesia Francesa
Nombre: MARINA MESEN, Edad: 1, Pais: Polinesia Francesa
Nombre: EVANGELINA PEREZ, Edad: 1, Pais: Yaren
Nombre: ELIDA MENA, Edad: 1, Pais: Helsinki
Nombre: ILUMINADA BARBOZA, Edad: 1, Pais: Wallis y Futuna
Nombre: MARIA ANTONIETA MENA, Edad: 1, Pais: Sierra Leona
Nombre: OMAR MENDEZ, Edad: 1, Pais: Iraq
Nombre: MARIA CECILIA GUILLEN, Edad: 1, Pais: Rumanía
Nombre: LUIS ALBERTO QUESADA, Edad: 1, Pais: Praia
Nombre: NORA LILLIAM BRENES, Edad: 1, Pais: Antillas Holandesas
Nombre: CATALINA MORA, Edad: 1, Pais: Uganda
Nombre: URBANA CAMACHO, Edad: 1, Pais: Skopie
Nombre: AURELIA QUESADA, Edad: 1, Pais: Belice
Nombre: EMMA FERNANDEZ, Edad: 1, Pais: Angola
Nombre: BERTINA RIOS, Edad: 1, Pais: Guatemala
Nombre: MARIA CECILIA CALVO, Edad: 1, Pais: Lesotho
Nombre: MARIA CRISTINA RETANA, Edad: 1, Pais: Namibia
Nombre: MERCEDES AMAIDA CORDERO, Edad: 1, Pais: Yakarta
Nombre: ROBERTO SANCHEZ, Edad: 1, Pais: Ankara
Nombre: FERNANDO MONTOYA, Edad: 1, Pais: Uruguay
Nombre: DULCELINA FALLAS, Edad: 1, Pais: Riad
Nombre: DINORAH ROJAS, Edad: 1, Pais: Luxemburgo
Nombre: JENARO CASTILLO, Edad: 1, Pais: Abuya
Nombre: JENARO CASTILLO, Edad: 1, Pais: Lesotho
Nombre: JOSE JOAQUIN PORRAS, Edad: 1, Pais: Vaticano
Nombre: LUZ MARINA PEREZ, Edad: 1, Pais: República Centroafricana
Nombre: MARIA DEL CARMEN MORA, Edad: 1, Pais: Antananarivo
Nombre: ELEODORA PICADO, Edad: 1, Pais: Skopie
Nombre: HORTENSIA PEREZ, Edad: 1, Pais: Angola
Nombre: ALICE NARANJO, Edad: 1, Pais: Bangladesh
Nombre: MARIA CRISTINA LEON, Edad: 1, Pais: Bogotá
Nombre: LUZ LEIVA, Edad: 1, Pais: Riga
Nombre: MIRYAM JIMENEZ, Edad: 1, Pais: Palikir
Nombre: RITA UREÑA, Edad: 1, Pais: Adís Abeba
Nombre: ALICIA CHACON, Edad: 1, Pais: Tadjikistan
Nombre: EMILIO RIVERA, Edad: 1, Pais: Santo Domingo
Nombre: MARIA TERESA BERMUDEZ, Edad: 1, Pais: Guayana Francesa
Nombre: RODOLFO ALBERTO ROMERO, Edad: 1, Pais: Podgorica
Nombre: MARIA CECILIA RODRIGUEZ, Edad: 1, Pais: San Marino
Nombre: LIGIA MARIA UMAÑA, Edad: 1, Pais: Djibouti
Nombre: CATALINA ESPERANZA MENA, Edad: 1, Pais: Palau
Nombre: LUISA PICADO, Edad: 1, Pais: San Tomé y Príncipe
Nombre: JOSE NESTOR ZAMORA, Edad: 1, Pais: Maseru
Nombre: EVELIA MORALES, Edad: 1, Pais: Vaduz
Nombre: OBDULIA HERRERA, Edad: 1, Pais: Naipyidó
Nombre: MARIA DEL CARMEN ROJAS, Edad: 1, Pais: Astaná
Nombre: ZOILA ROSA OBANDO, Edad: 1, Pais: España
Nombre: MARGARITA MONTERO, Edad: 1, Pais: Berlín
Nombre: MIGUEL ANGEL CAMPOS, Edad: 1, Pais: Niger
Nombre: CLAUDIO AVILA, Edad: 1, Pais: Mascate
Nombre: GILMA BORGE, Edad: 1, Pais: Islas Virgenes Británicas
Nombre: CARMEN RETANA, Edad: 1, Pais: Antillas Holandesas
Nombre: EFRAIM SOLIS, Edad: 1, Pais: San Marino
Nombre: MARIA TERESA GONZALEZ, Edad: 1, Pais: Luxemburgo
Nombre: GONZALO GUZMAN, Edad: 1, Pais: Luanda
Nombre: SOCORRO RODRIGUEZ, Edad: 1, Pais: Santa Lucía
Nombre: GLORIA MARIA CHAVES, Edad: 1, Pais: Minsk
Nombre: VICTOR ALFARO, Edad: 1, Pais: México
Nombre: ARNOLDO HERRERA, Edad: 1, Pais: Kinsasa
Nombre: LIGIA MORA, Edad: 1, Pais: Georgia
Nombre: ADITA BERMUDEZ, Edad: 1, Pais: Jerusalén Este
Nombre: BENJAMIN QUIROS, Edad: 1, Pais: Yakarta
Nombre: MARIA CAROLINA ALPIZAR, Edad: 1, Pais: Laos
Nombre: RICARDO RAMIREZ, Edad: 1, Pais: Tarawa
Nombre: FLOR MARIA MORA, Edad: 1, Pais: Abuya
Nombre: CARMEN ARIAS, Edad: 1, Pais: Turquía
Nombre: OTILIA SEGURA, Edad: 1, Pais: Angola
Nombre: MARIA PRECIOSA CASTRO, Edad: 1, Pais: Luanda
Nombre: HUGOLINA NUÑEZ, Edad: 1, Pais: Costa de Marfil
Nombre: EVELIA AGUERO, Edad: 1, Pais: Gran Bretaña
Nombre: CLAUDIO RETANA, Edad: 1, Pais: Bagdad
Nombre: ANGELA CESPEDES, Edad: 1, Pais: Países Bajos
Nombre: JUDITH BARRANTES, Edad: 1, Pais: Lomé
Nombre: LOURDES ALVARADO, Edad: 1, Pais: Palau
Nombre: ARACELLY SALAZAR, Edad: 1, Pais: España
Nombre: EDWIN PEREIRA, Edad: 1, Pais: Ciudad del Vaticano
Nombre: MANUEL LUIS GOMEZ, Edad: 1, Pais: Montserrat
Nombre: DAISY TORRES, Edad: 1, Pais: Islandia
Nombre: OFELIA SALAZAR, Edad: 1, Pais: Guinea Ecuatorial
Nombre: FABIO DELFIN BADILLA, Edad: 1, Pais: Guatemala
Nombre: ANTONIO SEGURA, Edad: 1, Pais: Sofía
Nombre: ORFILIA VALVERDE, Edad: 1, Pais: Praia
Nombre: LUIS PAULINO ROJAS, Edad: 1, Pais: Eslovaquia
Nombre: BENILDA VEGA, Edad: 1, Pais: Guernsey
Nombre: OMAR FALLAS, Edad: 1, Pais: Gabón
Nombre: MARIO MESEN, Edad: 1, Pais: San José
Nombre: CARLOS LUIS AGUERO, Edad: 1, Pais: Samoa
Nombre: JUAN RAMON ALVARADO, Edad: 1, Pais: Haiti
Nombre: LETICIA MADRIGAL, Edad: 1, Pais: Jerusalén Este
Nombre: MERIN RODRIGUEZ, Edad: 1, Pais: Tíbet
Nombre: VERONICA AURORA SANCHEZ, Edad: 1, Pais: Hungría
Nombre: VIRGINIA MENA, Edad: 1, Pais: Kingstown
Nombre: RAFAEL ANGEL BARRIENTOS, Edad: 1, Pais: Bélgica
Nombre: LUIS FERNANDEZ, Edad: 1, Pais: Cuba
Nombre: ILUMINADA PRADO, Edad: 1, Pais: Sudán
Nombre: EDGAR ROLDAN, Edad: 1, Pais: Nueva Zelanda
Nombre: ISIDORO CHACON, Edad: 1, Pais: Niamey
Nombre: LUISA IRIS ZUÑIGA, Edad: 1, Pais: Beirut
Nombre: MARIA TERESA BARRANTES, Edad: 1, Pais: Banjul
Nombre: DINORAH MELENDEZ, Edad: 1, Pais: Yakarta
Nombre: HERNAN COLLADO, Edad: 1, Pais: Bélgica
Nombre: ALICIA CHACON, Edad: 1, Pais: Palestina
Nombre: MARIA GLADYS FONSECA, Edad: 1, Pais: Eslovenia
Nombre: MARIA DIAZ, Edad: 1, Pais: Somalia
Nombre: HORTENSIA SALAZAR, Edad: 1, Pais: Comores
Nombre: ISRAEL ANGULO, Edad: 1, Pais: Emiratos Árabes Unidos
Nombre: GRACE ESQUIVEL, Edad: 1, Pais: Quito
Nombre: MANUEL SOLIS, Edad: 1, Pais: Nueva Zelanda
Nombre: LUZ FERNANDEZ, Edad: 1, Pais: Guadalupe
Nombre: ALBERTINA MORA, Edad: 1, Pais: Kazajstán
Nombre: AURISTELA QUIROS, Edad: 1, Pais: Gibraltar
Nombre: MARIA PAULA PANIAGUA, Edad: 1, Pais: Territorio Británico del Océano Indico
Nombre: ELIECER BARQUERO, Edad: 1, Pais: Birmania
Nombre: BLANCA ROSA CALVO, Edad: 1, Pais: República Guinea
Nombre: JUAN JIMENEZ, Edad: 1, Pais: Montserrat
Nombre: OFELIA MENDEZ, Edad: 1, Pais: Papúa-Nueva Guinea
Nombre: ELVIRA RETANA, Edad: 1, Pais: Rusia
Nombre: MARIA BRENES, Edad: 1, Pais: Buyumbura
Nombre: YOLANDA CASTRO, Edad: 1, Pais: Burkina Faso
Nombre: BENEDICTO RODRIGUEZ, Edad: 1, Pais: Tokio
Nombre: AURORA MORA, Edad: 1, Pais: Brasil
Nombre: TRINIDAD ARIAS, Edad: 1, Pais: Reunión
Nombre: GREGORIO ARIAS, Edad: 1, Pais: Vaticano
Nombre: BLANCA MORA, Edad: 1, Pais: Reikiavik
Nombre: OLGA MONGE, Edad: 1, Pais: Federación Rusa
Nombre: BERTILIA GUILLEN, Edad: 1, Pais: Melekeok
Nombre: ANA MARIA JIMENEZ, Edad: 1, Pais: San Pedro y Miquelón
Nombre: GRAUDINA MARIA CAMPOS, Edad: 1, Pais: Granada
Nombre: EMILIA FERNANDEZ, Edad: 1, Pais: Lilongüe
Nombre: MARIA SALAS, Edad: 1, Pais: Managua
Nombre: WILFRIDO UREÑA, Edad: 2, Pais: Bosnia-Herzegovina
Nombre: VICTOR ACUÑA, Edad: 2, Pais: Mogadiscio
Nombre: EDUARDO VIQUEZ, Edad: 2, Pais: Estocolmo
Nombre: RIGOBERTO VARGAS, Edad: 2, Pais: Noruega
Nombre: LUZ MARINA GUILLEN, Edad: 2, Pais: Caracas
Nombre: CARMEN HERRERA, Edad: 2, Pais: Países Bajos
Nombre: PAULINA IRENE SANCHEZ, Edad: 2, Pais: Singapur
Nombre: EDUARDO RAMIREZ, Edad: 2, Pais: Lusaka
Nombre: ARACELLI CHAVARRIA, Edad: 2, Pais: Islas Virgenes Americanas
Nombre: CLARA ROSA MOSCOA, Edad: 2, Pais: Kuwait City
Nombre: CLEMENCIA CARVAJAL, Edad: 2, Pais: Senegal
Nombre: AIDA JIMENEZ, Edad: 2, Pais: Afganistán
Nombre: GLADYS BARRANTES, Edad: 2, Pais: Samoa Americana
Nombre: RUTH MURILLO, Edad: 2, Pais: Cuba
Nombre: MERCEDES HERNANDEZ, Edad: 2, Pais: Gambia
Nombre: MARIA DE LOS ANGELES GUERRERO, Edad: 2, Pais: Isla Christmas
Nombre: RODOLFO HERNANDEZ, Edad: 2, Pais: Jerusalén Este
Nombre: JOSE LUIS BADILLA, Edad: 2, Pais: Namibia
Nombre: ANGEL NATIVIDAD HERNANDEZ, Edad: 2, Pais: Uganda
Nombre: LUZ MARINA FALLAS, Edad: 2, Pais: Islas Cocos
Nombre: BLANCA ROSA QUIROS, Edad: 2, Pais: Vientián
Nombre: JOSE RAFAEL ORTIZ, Edad: 2, Pais: Vaticano
Nombre: OTTON HERNANDEZ, Edad: 2, Pais: Helsinki
Nombre: EUGENIO MONGE, Edad: 2, Pais: Chad
Nombre: CARLOS LUIS ROJAS, Edad: 2, Pais: Belmopán
Nombre: LILIETTE ROJAS, Edad: 2, Pais: Camboya
Nombre: AURORA ARAYA, Edad: 2, Pais: Santo Tomé
Nombre: NELLY CHINCHILLA, Edad: 2, Pais: Manama
Nombre: JOSE MARIA MARIN, Edad: 2, Pais: Basseterre
Nombre: ABDENAGO MORA, Edad: 2, Pais: India
Nombre: MIRIAM SOTO, Edad: 2, Pais: Dodoma
Nombre: PILAR JIMENEZ, Edad: 2, Pais: Luxemburgo
Nombre: MARTA ESPINOZA, Edad: 2, Pais: Managua
Nombre: MARIA TERESA RODRIGUEZ, Edad: 2, Pais: Londres
Nombre: VIRGINIA SOLANO, Edad: 2, Pais: Nasáu
Nombre: HECTOR FALLAS, Edad: 2, Pais: Kazajstán
Nombre: MIREYA CECILIA VARGAS, Edad: 2, Pais: Macedonia del Norte
Nombre: MARIA CRISTINA VARGAS, Edad: 2, Pais: Chisináu
Nombre: ISRAEL CHAVES, Edad: 2, Pais: Tanzania
Nombre: DAISY LEON, Edad: 2, Pais: Kiev
Nombre: GUIDO ARTURO MUÑOZ, Edad: 2, Pais: Surinam
Nombre: RAMON SOLIS, Edad: 2, Pais: Chisináu
Nombre: ADRIAN RAMIREZ, Edad: 2, Pais: Roseau
Nombre: RAMON MARTIN CARMONA, Edad: 2, Pais: Federación Rusa
Nombre: MARIA LUISA HERRERA, Edad: 2, Pais: Groenlandia
Nombre: JESUS SALAZAR, Edad: 2, Pais: Viena
Nombre: TERESA ARAYA, Edad: 2, Pais: Papúa-Nueva Guinea
Nombre: ESTRELLA PORRAS, Edad: 2, Pais: Samoa Americana
