Nombre: CARMEN CORRALES, Edad: 2, Pais: Riad
Nombre: MARIA CRISTINA DELGADO, Edad: 64, Pais: Kuala Lumpur
Nombre: ROSALIA FERNANDEZ, Edad: 27, Pais: Estados Unidos
Nombre: ZENEIDA MORA, Edad: 14, Pais: Katmandú
Nombre: ZENEIDA MORA, Edad: 33, Pais: Lusaka
Nombre: EMILIA HERNANDEZ, Edad: 25, Pais: Laos
Nombre: HERMINIA MORA, Edad: 56, Pais: San Marino
Nombre: DORA DURAN, Edad: 30, Pais: Santa Elena
Nombre: ERLINDO FERNANDEZ, Edad: 56, Pais: San Tomé y Príncipe
Nombre: ERLINDO FERNANDEZ, Edad: 42, Pais: Zagreb
Nombre: ERLINDO FERNANDEZ, Edad: 2, Pais: Freetown
Nombre: JULIETA AYMERICH, Edad: 63, Pais: México
Nombre: JULIETA AYMERICH, Edad: 13, Pais: Granada
Nombre: MARIA LIDIA HERRERA, Edad: 89, Pais: Serbia
Nombre: CELERINO MONTES, Edad: 78, Pais: Manila
Nombre: FABIO ACUÑA, Edad: 25, Pais: Antigua y Barbuda
Nombre: CABIRIA MORGAN, Edad: 43, Pais: Bielorrusia
Nombre: CABIRIA MORGAN, Edad: 35, Pais: Lesotho
Nombre: CABIRIA MORGAN, Edad: 91, Pais: Aruba
Nombre: CABIRIA MORGAN, Edad: 41, Pais: Kinsasa
Nombre: TRINIDAD VINDAS, Edad: 69, Pais: Berlín
Nombre: TRINIDAD VINDAS, Edad: 55, Pais: Comores
Nombre: FLORA MENDEZ, Edad: 11, Pais: Bután
Nombre: VICTOR RIVERA, Edad: 92, Pais: Hanói
Nombre: VICTOR RIVERA, Edad: 69, Pais: Estados Unidos
Nombre: MARTA RECIO, Edad: 13, Pais: Podgorica
Nombre: RECAREDO MURILLO, Edad: 71, Pais: Amán
Nombre: EVANGELINA ROJAS, Edad: 64, Pais: Manama
Nombre: ZOILA SANDI, Edad: 35, Pais: Varsovia
Nombre: OLGA ROMILIA VARGAS, Edad: 28, Pais: San Vincente y Granadinas
Nombre: OLGA ROMILIA VARGAS, Edad: 54, Pais: Laos
Nombre: OLGA ROMILIA VARGAS, Edad: 51, Pais: Harare
Nombre: MARIA CRISTINA FALLAS, Edad: 68, Pais: Zaire
Nombre: MARIA CRISTINA FALLAS, Edad: 16, Pais: Yuba
Nombre: ALICE VILLALOBOS, Edad: 53, Pais: Vientián
Nombre: ALICE VILLALOBOS, Edad: 82, Pais: Paramaribo
Nombre: ADA MARIA HIDALGO, Edad: 27, Pais: Emiratos Árabes Unidos
Nombre: ANGELICA SANCHEZ, Edad: 84, Pais: Daca
Nombre: VIRGINIA PINTO, Edad: 90, Pais: Túnez
Nombre: VIRGINIA PINTO, Edad: 59, Pais: Islas Virgenes Americanas
Nombre: GUILLERMINA MORALES, Edad: 20, Pais: Vientián
Nombre: JOSE LUIS VARGAS, Edad: 61, Pais: Tailandia
Nombre: JOSE LUIS VARGAS, Edad: 61, Pais: Banjul
Nombre: JOSE LUIS VARGAS, Edad: 80, Pais: Helsinki
Nombre: TARCILA MORA, Edad: 63, Pais: Hungría
Nombre: CARMEN SOLANO, Edad: 86, Pais: Uruguay
Nombre: CARMEN BARAHONA, Edad: 9, Pais: Bangladesh
Nombre: CARLOTA FERNANDEZ, Edad: 89, Pais: Aruba
Nombre: ORFILIA RIOS, Edad: 53, Pais: Birmania
Nombre: ROGELIO MARIN, Edad: 58, Pais: Austria
Nombre: BETTINA MONGE, Edad: 73, Pais: Tokelau
Nombre: GABRIEL MARIN, Edad: 65, Pais: Zagreb
Nombre: GABRIEL MARIN, Edad: 4, Pais: Estocolmo
Nombre: NEFTALI FALLAS, Edad: 57, Pais: Saint George
Nombre: RAFAEL ANGEL LOPEZ, Edad: 13, Pais: Malabo
Nombre: OFELIA AVALOS, Edad: 2, Pais: Suiza
Nombre: RECAREDO VINDAS, Edad: 6, Pais: Sierra Leona
Nombre: GLADYS HERRERA, Edad: 18, Pais: Manila
Nombre: GLADYS HERRERA, Edad: 76, Pais: Lilongüe
Nombre: GLADYS HERRERA, Edad: 45, Pais: Dublín
Nombre: GLADYS HERRERA, Edad: 66, Pais: Adís Abeba
Nombre: JOSEFA GUADALUPE MORA, Edad: 70, Pais: Yibuti
Nombre: FLORIPES FIGUEROA, Edad: 29, Pais: Líbano
Nombre: MARIA JOSEFA CARVAJAL, Edad: 67, Pais: Madrid
Nombre: URBANO MORA, Edad: 87, Pais: Bermudas
Nombre: URBANO MORA, Edad: 40, Pais: Viena
Nombre: LUZMIRA CHINCHILLA, Edad: 71, Pais: Santiago
Nombre: EMELIDA GUTIERREZ, Edad: 3, Pais: Japón
Nombre: EMELIDA GUTIERREZ, Edad: 35, Pais: Jersey
Nombre: CONSUELO JIMENEZ, Edad: 84, Pais: Tirana
Nombre: CLAUDIO RODRIGUEZ, Edad: 91, Pais: Eslovenia
Nombre: RAFAEL AGUILAR, Edad: 37, Pais: Mauricio
Nombre: MARIA ROSA ORTEGA, Edad: 5, Pais: Bosnia-Herzegovina
Nombre: MARIA ROSA ORTEGA, Edad: 49, Pais: Territorio Británico del Océano Indico
Nombre: ROSARIO SANCHEZ, Edad: 17, Pais: Maputo
Nombre: ROSARIO SANCHEZ, Edad: 44, Pais: Jerusalén Este
Nombre: GLADYS JIMENEZ, Edad: 48, Pais: Santa Lucía
Nombre: GLADYS JIMENEZ, Edad: 94, Pais: Pakistán
Nombre: GLADYS JIMENEZ, Edad: 51, Pais: Sri Jayawardenapura Kotte
Nombre: ALICIA ALBERTAZZI, Edad: 61, Pais: Colombia
Nombre: ALICIA ALBERTAZZI, Edad: 34, Pais: Nukualofa
Nombre: CARLOS LUIS ARIAS, Edad: 12, Pais: Tanzania
Nombre: CARMEN MENDEZ, Edad: 86, Pais: Guadalupe
Nombre: EZEQUIAS FERNANDEZ, Edad: 82, Pais: Finlandia
Nombre: EZEQUIAS FERNANDEZ, Edad: 65, Pais: Bélgica
Nombre: EZEQUIAS FERNANDEZ, Edad: 42, Pais: Nicosia
Nombre: EZEQUIAS FERNANDEZ, Edad: 60, Pais: Trinidad y Tobago
Nombre: MARIA PATROCINIA TENORIO, Edad: 32, Pais: Yaundé
Nombre: MARIA PATROCINIA TENORIO, Edad: 33, Pais: Nueva Caledonia
Nombre: CARMEN LORIA, Edad: 16, Pais: Majuro
Nombre: CARMEN LORIA, Edad: 100, Pais: Haiti
Nombre: CARMEN MADRIGAL, Edad: 9, Pais: Corea del Sur
Nombre: EMMA GARRO, Edad: 24, Pais: Asunción
Nombre: RAFAELA MARIN, Edad: 65, Pais: República del Congo
Nombre: RAFAELA MARIN, Edad: 42, Pais: Panamá
Nombre: RAFAELA MARIN, Edad: 95, Pais: Jordania
Nombre: MARIA ANGELICA MENA, Edad: 61, Pais: Riad
Nombre: MARIA ANGELICA MENA, Edad: 85, Pais: Gaborone
Nombre: MARIA DEL ROSARIO BARRANTES, Edad: 18, Pais: Roseau
Nombre: DAISY SOLANO, Edad: 47, Pais: Roseau
Nombre: DAISY SOLANO, Edad: 78, Pais: Nasáu
Nombre: ELSA GODINEZ, Edad: 71, Pais: Aruba
Nombre: ELSA GODINEZ, Edad: 45, Pais: Windhoek
Nombre: SALVADOR VILLALTA, Edad: 67, Pais: Kuwait
Nombre: NEFTALI MORA, Edad: 82, Pais: Puerto Rico
Nombre: MERCEDES BRIZUELA, Edad: 16, Pais: Islas Virgenes Británicas
Nombre: ALBERTO LOBO, Edad: 72, Pais: San José
Nombre: ALBERTO LOBO, Edad: 24, Pais: Conakri
Nombre: MERCEDES MONTERO, Edad: 47, Pais: Nauru
Nombre: AMPARO AVILA, Edad: 91, Pais: Taskent
Nombre: AMPARO AVILA, Edad: 20, Pais: Thimphu
Nombre: AMPARO AVILA, Edad: 9, Pais: Angola
Nombre: GERMAN CARVAJAL, Edad: 81, Pais: Zagreb
Nombre: GERMAN CARVAJAL, Edad: 71, Pais: Jerusalén Este
Nombre: GERMAN CARVAJAL, Edad: 56, Pais: China
Nombre: GERMAN CARVAJAL, Edad: 54, Pais: Funafuti
Nombre: LUIS PAULINO SERRANO, Edad: 97, Pais: Emiratos Árabes Unidos
Nombre: JOSE VICENTE ACUÑA, Edad: 48, Pais: Santo Domingo
Nombre: JOSE VICENTE ACUÑA, Edad: 30, Pais: San José
Nombre: JOSE VICENTE ACUÑA, Edad: 42, Pais: Tegucigalpa
Nombre: ELSA GUILA, Edad: 79, Pais: Sudáfrica
Nombre: ELSA GUILA, Edad: 10, Pais: Jerusalén
Nombre: ELSA GUILA, Edad: 66, Pais: Francia
Nombre: MAGDALENA MARIN, Edad: 18, Pais: Kiev
Nombre: MAGDALENA MARIN, Edad: 48, Pais: Buyumbura
Nombre: MAGDALENA MARIN, Edad: 80, Pais: Malé
Nombre: JOSEFINA GOMEZ, Edad: 65, Pais: Taipéi
Nombre: JOSEFINA GOMEZ, Edad: 59, Pais: Siria
Nombre: JOSEFINA GOMEZ, Edad: 77, Pais: Irán
Nombre: ERMIDA SOLIS, Edad: 14, Pais: Yamusukro
Nombre: ERMIDA SOLIS, Edad: 16, Pais: Ecuador
Nombre: ERMIDA SOLIS, Edad: 8, Pais: Túnez
Nombre: ERMIDA SOLIS, Edad: 90, Pais: Omán
Nombre: ERMIDA SOLIS, Edad: 43, Pais: Mogadiscio
Nombre: EMILCE BERMUDEZ, Edad: 54, Pais: Sáhara Occidental
Nombre: JOSE CASCANTE, Edad: 69, Pais: Mascate
Nombre: JORGE HERRERA, Edad: 32, Pais: Bagdad
Nombre: JORGE HERRERA, Edad: 24, Pais: Lima
Nombre: YOLANDA FERNANDEZ, Edad: 10, Pais: Bruselas
Nombre: CLAUDINA MENDEZ, Edad: 5, Pais: Brasil
Nombre: JOSE MARIA VALVERDE, Edad: 28, Pais: Seúl
Nombre: ROGELIO JOAQUIN NAVARRO, Edad: 36, Pais: Groenlandia
Nombre: OFELIA MADRIGAL, Edad: 78, Pais: Kazajstán
Nombre: ENRIQUE BRENES, Edad: 81, Pais: Tarawa
Nombre: ENRIQUE BRENES, Edad: 42, Pais: Túnez
Nombre: ENRIQUE BRENES, Edad: 58, Pais: Santo Tomé
Nombre: ENRIQUE BRENES, Edad: 65, Pais: Eritrea
Nombre: ENRIQUE BRENES, Edad: 95, Pais: Pretoria
Nombre: HERNAN MURILLO, Edad: 95, Pais: Saint George
Nombre: POMPILIO DIAZ, Edad: 30, Pais: San Salvador
Nombre: JUANA DE JESUS SANCHEZ, Edad: 50, Pais: Puerto Rico
Nombre: JUANA DE JESUS SANCHEZ, Edad: 12, Pais: Tanzania
Nombre: MARTA ARIAS, Edad: 86, Pais: Yemen
Nombre: MARTA ARIAS, Edad: 20, Pais: Birmania
Nombre: MARTA ARIAS, Edad: 50, Pais: Sri Lanka
Nombre: TITO JUAN CHAVERRI, Edad: 47, Pais: Túnez
Nombre: ALICIA AGUERO, Edad: 31, Pais: Quito
Nombre: JUAN MARIA CECILIANO, Edad: 31, Pais: Malé
Nombre: JUAN MARIA CECILIANO, Edad: 55, Pais: Corea del Sur
Nombre: MARIA SANDI, Edad: 100, Pais: Kazajstán
Nombre: ORLANDO ORTIZ, Edad: 7, Pais: El Cairo
Nombre: DAISY DURAN, Edad: 11, Pais: Amán
Nombre: DAISY DURAN, Edad: 68, Pais: Mayotte
Nombre: MARIA GARCIA, Edad: 21, Pais: Georgia
Nombre: BLANCA MARIA MATARRITA, Edad: 25, Pais: Mongolia
Nombre: FLORA CORELLA, Edad: 79, Pais: Turquía
Nombre: FLORA CORELLA, Edad: 37, Pais: Chad
Nombre: MARIA IGNACIA MORA, Edad: 48, Pais: Roseau
Nombre: MARIA IGNACIA MORA, Edad: 93, Pais: Astaná
Nombre: ANTONIA FLORINDA NAVARRO, Edad: 52, Pais: Conakri
Nombre: ANTONIA FLORINDA NAVARRO, Edad: 97, Pais: Armenia
Nombre: JUAN SEGURA, Edad: 22, Pais: Costa Rica
Nombre: JUAN SEGURA, Edad: 72, Pais: Kirguistán
Nombre: ARABELA CASTRO, Edad: 69, Pais: Tadjikistan
Nombre: DINORAH JIMENEZ, Edad: 43, Pais: Botswana
Nombre: JOAQUIN MORA, Edad: 46, Pais: Kingstown
Nombre: HILDA VALVERDE, Edad: 81, Pais: Groenlandia
Nombre: BIENVENIDA HERRERA, Edad: 81, Pais: Tiflis
Nombre: RICARDO NUÑEZ, Edad: 76, Pais: Guinea Ecuatorial
Nombre: RICARDO NUÑEZ, Edad: 4, Pais: Croacia
Nombre: RICARDO NUÑEZ, Edad: 3, Pais: Argelia
Nombre: RAMON RIOS, Edad: 60, Pais: Omán
Nombre: HAYDEE LEON, Edad: 96, Pais: Ankara
Nombre: HAYDEE LEON, Edad: 71, Pais: Estados Unidos
Nombre: HAYDEE LEON, Edad: 12, Pais: Islas Feroe
Nombre: EMILIO QUIROS, Edad: 46, Pais: República Guinea
Nombre: EMILIO QUIROS, Edad: 45, Pais: Madrid
Nombre: JUAN LOAIZA, Edad: 56, Pais: Bamako
Nombre: JUAN LOAIZA, Edad: 11, Pais: Rumanía
Nombre: JUAN LOAIZA, Edad: 54, Pais: Dinamarca
Nombre: NATALIA CASTRO, Edad: 51, Pais: Riga
Nombre: NATALIA CASTRO, Edad: 8, Pais: El Cairo
Nombre: EMILIA CORNEJO, Edad: 75, Pais: Tiflis
Nombre: ANTONIO MARIO RODRIGUEZ, Edad: 8, Pais: Australia
Nombre: ANTONIO MARIO RODRIGUEZ, Edad: 30, Pais: Fidji
Nombre: ANTONIO MARIO RODRIGUEZ, Edad: 78, Pais: Estocolmo
Nombre: ANTONIO MARIO RODRIGUEZ, Edad: 23, Pais: Basseterre
Nombre: OLIVA CORDERO, Edad: 76, Pais: Bridgetown
Nombre: GRACIANO CHAVARRIA, Edad: 31, Pais: Manila
Nombre: GRACIANO CHAVARRIA, Edad: 91, Pais: Líbano
Nombre: GRACIANO CHAVARRIA, Edad: 80, Pais: Pekín
Nombre: ADRIAN VARGAS, Edad: 25, Pais: Maldivas
Nombre: CARMEN CARRILLO, Edad: 83, Pais: Dominica
Nombre: CARMEN CARRILLO, Edad: 60, Pais: Abu Dabi
Nombre: CARMEN CARRILLO, Edad: 45, Pais: Antillas Holandesas
Nombre: CARMEN CARRILLO, Edad: 86, Pais: Bahrein
Nombre: CARMEN CARRILLO, Edad: 10, Pais: San Marino
Nombre: YANINA ELISABETH CLAUSEN, Edad: 51, Pais: Santa Elena
Nombre: YANINA ELISABETH CLAUSEN, Edad: 78, Pais: Brasil
Nombre: ADAN CESPEDES, Edad: 64, Pais: Pretoria
Nombre: LUIS CARLOS BLANCO, Edad: 65, Pais: Palau
Nombre: JULIETA CASTRO, Edad: 94, Pais: Copenhague
Nombre: HAYDEE JIMENEZ, Edad: 17, Pais: Mónaco
Nombre: LUIS MARCHINI, Edad: 27, Pais: Islas Cook
Nombre: LUIS MARCHINI, Edad: 65, Pais: Uagadugú
Nombre: LUIS MARCHINI, Edad: 98, Pais: Bután
Nombre: ISAIAS ARCE, Edad: 36, Pais: Grecia
Nombre: ISAIAS ARCE, Edad: 45, Pais: Omán
Nombre: ISAIAS ARCE, Edad: 90, Pais: Surinam
Nombre: ISAIAS ARCE, Edad: 57, Pais: República del Congo
Nombre: ERMELINDA CASCANTE, Edad: 14, Pais: Antillas Holandesas
Nombre: MARIA EUGENIA OBANDO, Edad: 66, Pais: Quito
Nombre: MARIA EUGENIA OBANDO, Edad: 77, Pais: Kingston
Nombre: MIREYA FERNANDEZ, Edad: 25, Pais: Cuba
Nombre: MIREYA FERNANDEZ, Edad: 18, Pais: Hungría
Nombre: MIREYA FERNANDEZ, Edad: 86, Pais: Moroni
Nombre: MIREYA FERNANDEZ, Edad: 38, Pais: Kirguistán
Nombre: REMIGIO CHAVES, Edad: 51, Pais: Kirguistán
Nombre: CARMEN BONILLA, Edad: 98, Pais: Dusambé
Nombre: CARMEN BONILLA, Edad: 12, Pais: Federación Rusa
Nombre: CARMEN BONILLA, Edad: 18, Pais: Marianas del Nort
Nombre: MARIA CRISTINA RODRIGUEZ, Edad: 34, Pais: Liubliana
Nombre: MANUEL ANGEL CECILIANO, Edad: 29, Pais: Puerto Rico
Nombre: EVANGELINA SALGADO, Edad: 89, Pais: Tallin
Nombre: GUIDO CAMACHO, Edad: 3, Pais: Letonia
Nombre: FLORA JIMENEZ, Edad: 21, Pais: Asmara
Nombre: MARIA TERESA PORRAS, Edad: 97, Pais: Jordania
Nombre: DORILA CRUZ, Edad: 60, Pais: Bisáu
Nombre: EDWIN RAMON ZUÑIGA, Edad: 63, Pais: Moldavia
Nombre: MARIA PAGANI, Edad: 64, Pais: Etiopía
Nombre: MARIA PAGANI, Edad: 30, Pais: Kiev
Nombre: MARIA PAGANI, Edad: 12, Pais: Aruba
Nombre: ODILI VILLALOBOS, Edad: 65, Pais: Polonia
Nombre: EDWIN MONTERO, Edad: 63, Pais: Helsinki
Nombre: FLERIDA ELIZONDO, Edad: 81, Pais: China
Nombre: FLERIDA ELIZONDO, Edad: 33, Pais: Indonesia
Nombre: LEONOR CASTRO, Edad: 32, Pais: Bridgetown
Nombre: LEONOR CASTRO, Edad: 53, Pais: Tegucigalpa
Nombre: LEONOR CASTRO, Edad: 82, Pais: Etiopía
Nombre: ANA MARIA CHACON, Edad: 15, Pais: Moldavia
Nombre: ALICIA ARTAVIA, Edad: 13, Pais: Túnez
Nombre: ALICIA ARTAVIA, Edad: 75, Pais: Croacia
Nombre: ALICIA ARTAVIA, Edad: 47, Pais: Pekín
Nombre: RAMON CHACON, Edad: 34, Pais: Mauritania
Nombre: RAMON CHACON, Edad: 5, Pais: Taipéi
Nombre: ADELIA BARBOZA, Edad: 78, Pais: Andorra
Nombre: HAYDEE AGUERO, Edad: 59, Pais: Moscú
Nombre: RAFAEL ROQUE MONTOYA, Edad: 12, Pais: Pretoria
Nombre: GUILLERMINA BLANCO, Edad: 49, Pais: Sofía
Nombre: MARIA DEL SOCORRO UMAÑA, Edad: 29, Pais: Managua
Nombre: ODILI MONTOYA, Edad: 92, Pais: Kingston
Nombre: LUZ HERNANDEZ, Edad: 53, Pais: Islas Feroe
Nombre: CARMELINA DIAZ, Edad: 4, Pais: Letonia
Nombre: CARMELINA DIAZ, Edad: 97, Pais: Isla Pitcairn
Nombre: CARLOS RAFAEL AMADOR, Edad: 24, Pais: San Pedro y Miquelón
Nombre: BLANCA ROSA UMAÑA, Edad: 6, Pais: Mongolia
Nombre: BLANCA ROSA UMAÑA, Edad: 5, Pais: Taipéi
Nombre: ISABEL PARRA, Edad: 23, Pais: Isla Ascension
Nombre: ISABEL PARRA, Edad: 60, Pais: Port Vila
Nombre: ISABEL PARRA, Edad: 18, Pais: Yamena
Nombre: ISABEL PARRA, Edad: 99, Pais: Libia
Nombre: YOLANDA MUÑOZ, Edad: 33, Pais: Gaborone
Nombre: CARMEN ACUÑA, Edad: 52, Pais: Corea del Sur
Nombre: CARMEN ACUÑA, Edad: 84, Pais: Honduras
Nombre: CARMEN ACUÑA, Edad: 86, Pais: Tonga
Nombre: CARMEN ACUÑA, Edad: 93, Pais: Hong Kong
Nombre: LUZ JIMENEZ, Edad: 92, Pais: Monrovia
Nombre: LUZ JIMENEZ, Edad: 36, Pais: Funafuti
Nombre: LUZ JIMENEZ, Edad: 25, Pais: Estados Unidos
Nombre: MARIA CRISTINA NAVARRO, Edad: 85, Pais: Doha
Nombre: JUAN JOSE SOLIS, Edad: 27, Pais: Pristina
Nombre: OSCAR COLLADO, Edad: 46, Pais: Caracas
Nombre: OSCAR COLLADO, Edad: 86, Pais: Nigeria
Nombre: GUILLERMO MARENCO, Edad: 53, Pais: Ucrania
Nombre: GUILLERMO MARENCO, Edad: 3, Pais: Bulgaria
Nombre: RAMON SANCHEZ, Edad: 42, Pais: Bermudas
Nombre: RAMON SANCHEZ, Edad: 60, Pais: San Cristobal y Nevis
Nombre: RAMON SANCHEZ, Edad: 40, Pais: Castries
Nombre: FAUSTO FELIPE HIDALGO, Edad: 2, Pais: Tíbet
Nombre: JUAN BAUTISTA CASTILLO, Edad: 98, Pais: San Marino
Nombre: JUAN BAUTISTA CASTILLO, Edad: 98, Pais: San Marino
Nombre: MARIA JOSEFA CASTRO, Edad: 83, Pais: Moroni
Nombre: EIDA MADRIGAL, Edad: 55, Pais: Norfolk Island
Nombre: JESUS MARIN, Edad: 11, Pais: Kuala Lumpur
Nombre: MARIA ROSARIO HERNANDEZ, Edad: 73, Pais: Guyana
Nombre: MARIA ROSARIO HERNANDEZ, Edad: 52, Pais: Bagdad
Nombre: CIDELY MARIA RODRIGUEZ, Edad: 34, Pais: Kirguistán
Nombre: DIDIMO HERNANDEZ, Edad: 19, Pais: Siria
Nombre: EDGAR ARIAS, Edad: 57, Pais: Islas Malvinas
Nombre: CARMEN CHINCHILLA, Edad: 69, Pais: Colombia
Nombre: GERTRUDIS SOLANO, Edad: 16, Pais: Moscú
Nombre: GERTRUDIS SOLANO, Edad: 68, Pais: Kiribati
Nombre: EGERICO MENA, Edad: 32, Pais: Jerusalén
Nombre: ENRIQUE ARROYO, Edad: 59, Pais: Luanda
Nombre: ENRIQUE ARROYO, Edad: 72, Pais: Vanuatu
Nombre: ENRIQUE ARROYO, Edad: 52, Pais: Gabón
Nombre: ISABEL FERNANDEZ, Edad: 26, Pais: Portugal
Nombre: HORTENSIA RODRIGUEZ, Edad: 79, Pais: República Guinea
Nombre: ADELA MONTERO, Edad: 93, Pais: Asmara
Nombre: CARMELINA JARA, Edad: 40, Pais: Sri Lanka
Nombre: CARMELINA JARA, Edad: 20, Pais: Abu Dabi
Nombre: CARMELINA JARA, Edad: 20, Pais: Teherán
Nombre: RUBEN FONSECA, Edad: 98, Pais: Liubliana
Nombre: RUBEN FONSECA, Edad: 74, Pais: Cabo Verde
Nombre: FELICIA CESPEDES, Edad: 38, Pais: Londres
Nombre: CARMEN DELGADO, Edad: 87, Pais: Samoa Americana
Nombre: RAFAEL CERDAS, Edad: 52, Pais: Reino Unido
Nombre: DIGNA ZUÑIGA, Edad: 58, Pais: Tanzania
Nombre: RAFAEL ISIDRO DIAZ, Edad: 81, Pais: Pretoria
Nombre: RAFAEL ISIDRO DIAZ, Edad: 2, Pais: Sáhara Occidental
Nombre: JOSE JOHEL VARGAS, Edad: 3, Pais: Costa de Marfil
Nombre: JOSEFA ILUMINADA FALLAS, Edad: 12, Pais: Maputo
Nombre: JOSEFA ILUMINADA FALLAS, Edad: 41, Pais: Basseterre
Nombre: JOSEFA ILUMINADA FALLAS, Edad: 5, Pais: Moldavia
Nombre: LIDIA ELIZONDO, Edad: 26, Pais: Bosnia-Herzegovina
Nombre: LIDIA ELIZONDO, Edad: 48, Pais: Brunei Darussalam
Nombre: LIDIA ELIZONDO, Edad: 27, Pais: Bahrein
Nombre: LIDIA ELIZONDO, Edad: 88, Pais: Buenos Aires
Nombre: EFRAIN ULLOA, Edad: 10, Pais: República Guinea
Nombre: EMERITA MORA, Edad: 25, Pais: Martinica
Nombre: EMERITA MORA, Edad: 76, Pais: Uagadugú
Nombre: EMERITA MORA, Edad: 75, Pais: Andorra la Vieja
Nombre: ALICIA RODRIGUEZ, Edad: 99, Pais: Kuala Lumpur
Nombre: ALICIA RODRIGUEZ, Edad: 71, Pais: Nigeria
Nombre: ALICIA RODRIGUEZ, Edad: 60, Pais: Archipiélago de Svalbard
Nombre: ELIDA VARGAS, Edad: 25, Pais: Cuba
Nombre: DORA ROJAS, Edad: 7, Pais: Italia
Nombre: DORA ROJAS, Edad: 41, Pais: Marianas del Nort
Nombre: MIGUEL CASTRO, Edad: 65, Pais: Guinea Bissau
Nombre: IRIS FUENTES, Edad: 38, Pais: Noruega
Nombre: VIRGINIA BORGE, Edad: 13, Pais: Botswana
Nombre: VIRGINIA BORGE, Edad: 31, Pais: Ciudad del Vaticano
Nombre: VIRGINIA BORGE, Edad: 46, Pais: Seychelles
Nombre: JULIETA GARCIA, Edad: 72, Pais: Groenlandia
Nombre: JULIETA GARCIA, Edad: 3, Pais: Helsinki
Nombre: JULIETA GARCIA, Edad: 17, Pais: Roseau
Nombre: MANUEL RIVERA, Edad: 76, Pais: Líbano
Nombre: MANUEL RIVERA, Edad: 18, Pais: Nicosia
Nombre: JESUS CASTRO, Edad: 20, Pais: Timor Oriental
Nombre: JOSE HERIBERTO MORA, Edad: 98, Pais: Bamako
Nombre: JOSE HERIBERTO MORA, Edad: 56, Pais: República Guinea
Nombre: JOSE HERIBERTO MORA, Edad: 72, Pais: Guadalupe
Nombre: MARIA DE LAS MERCEDES SANCHO, Edad: 3, Pais: Islas Virgenes Americanas
Nombre: MARIA PAULA VARGAS, Edad: 3, Pais: Nukualofa
Nombre: PEDRO ORTIZ, Edad: 14, Pais: Islas Cook
Nombre: CLAUDINA CASCANTE, Edad: 100, Pais: Costa Rica
Nombre: CLAUDINA CASCANTE, Edad: 90, Pais: Vaticano
Nombre: CELINA SALAS, Edad: 46, Pais: Yamusukro
Nombre: CELINA SALAS, Edad: 52, Pais: Dominica
Nombre: CELINA SALAS, Edad: 4, Pais: Basseterre
Nombre: OLGA ESQUIVEL, Edad: 52, Pais: Djibouti
Nombre: OLGA ESQUIVEL, Edad: 31, Pais: Nasáu
